b1,b2,b3,b4,b5,a1,a2,a3,a4,a5,a6,a7,a8,d1,d2,d3,d4,d5,u1,u2,u3,u4,v1,v2,v3,v4,r1,r2,r3,r4,n1,n2,n3,n4,n5,n6,s1,s2,s3,s4,s5,s6,s7,s8,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12
b,11,1,2,0,3,3,2,5,2,4,2,3,1,2,1,1,1,8,-1,-1,3,1,2,1,2,4,1,1,1,2,1,1,4,3,1,4,3,3,1,2,2,2,2,b,a,a,b,b,b,a,a,a,a,a,b
b,16,3,1,0,2,2,3,4,2,1,1,2,0,2,1,1,1,2,1,1,2,1,1,2,1,2,1,1,0,-1,-1,-1,1,1,1,2,2,1,3,2,2,2,2,b,a,a,a,b,a,a,a,a,a,a,b
b,12,2,2,0,2,3,4,2,3,2,1,2,4,4,4,4,4,5,5,2,3,1,2,2,1,2,1,1,0,-1,-1,-1,1,1,1,4,3,3,2,2,4,3,3,b,a,b,a,b,b,b,-1,a,a,a,b
a,14,2,2,0,3,1,1,5,2,1,1,2,2,5,2,2,2,3,-1,-1,3,3,1,3,1,2,1,1,0,-1,-1,-1,1,3,3,4,4,3,2,2,3,3,3,b,a,a,b,b,b,a,a,a,a,a,b
a,11,1,2,0,1,1,2,1,5,1,2,1,2,2,2,2,5,5,-1,-1,2,1,1,1,1,1,1,1,0,-1,-1,-1,2,3,1,3,3,3,2,0,3,3,2,b,a,b,b,b,b,b,b,a,b,a,b
a,15,3,2,0,3,3,4,4,1,1,1,1,3,4,1,4,4,3,4,1,2,1,1,1,1,2,1,1,0,-1,-1,-1,1,1,1,3,1,1,2,1,2,2,1,a,b,b,b,b,a,a,a,a,a,b,b
b,10,1,1,0,2,2,2,2,6,1,1,3,2,5,2,1,6,5,-1,-1,4,2,2,2,1,4,1,2,2,1,1,1,3,1,4,4,3,4,1,2,3,3,4,b,a,b,a,b,a,b,b,a,b,a,b
a,12,2,1,0,3,3,1,4,5,1,1,1,2,4,1,1,1,2,-1,-1,2,1,3,3,4,2,2,2,2,-1,-1,-1,1,2,3,3,4,3,3,1,4,3,4,b,a,b,b,b,b,b,b,b,b,b,b
b,9,1,1,0,2,0,2,2,1,1,1,0,3,1,1,1,3,0,-1,-1,1,1,1,1,1,1,1,1,0,-1,-1,-1,3,1,1,4,3,1,3,2,2,2,1,b,a,b,a,b,b,a,a,a,a,a,b
b,12,2,1,0,3,4,4,4,4,4,2,3,2,6,2,4,1,8,1,1,2,1,1,1,2,4,1,1,1,-1,-1,-1,1,1,1,3,3,1,3,2,2,4,3,b,a,a,b,b,b,a,b,a,a,a,b
b,15,3,1,0,2,3,3,3,2,1,1,2,1,4,2,2,2,5,5,2,3,2,1,1,1,2,2,1,0,-1,-1,-1,2,2,2,4,3,3,2,2,3,4,4,b,a,b,b,b,b,b,a,b,a,a,b
a,14,2,1,0,2,6,4,4,3,3,2,2,3,2,4,4,2,3,2,2,3,3,3,3,2,2,2,2,0,2,2,1,3,3,3,1,4,4,2,2,3,3,3,b,b,b,b,b,b,b,b,b,b,b,b
b,13,2,2,0,2,1,2,3,2,1,1,1,0,2,2,2,1,3,-1,-1,3,1,1,1,1,1,1,1,0,-1,-1,-1,1,1,1,4,3,4,2,2,2,2,3,b,a,a,a,b,b,a,b,a,a,a,b
