Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,6e-06,20.571429,[9 9] ; [41  1],[15.  3.] ; [35.  7.],1
r2,1,0.01093,6.476704,[13  5] ; [40  2],[15.9  2.1] ; [37.1  4.9],0
v4,1,0.01093,6.476704,[13  5] ; [40  2],[15.9  2.1] ; [37.1  4.9],0
b1,1,0.027211,4.877345,[12  6] ; [15 27],[8.1 9.9] ; [18.9 23.1],0
a6,1,0.042063,4.132653,[ 6 12] ; [26 16],[9.6 8.4] ; [22.4 19.6],0
s1,1,0.042405,4.118968,[ 4 14] ; [ 2 39],[ 1.83050847 16.16949153] ; [ 4.16949153 36.83050847],0
p7,1,0.050254,3.832977,[12  6] ; [16 25],[8.54237288 9.45762712] ; [19.45762712 21.54237288],0
v3,1,0.089321,2.886573,[ 3 14] ; [16 23],[ 5.76785714 11.23214286] ; [13.23214286 25.76785714],0
u1,1,0.094022,2.804135,[ 1 17] ; [10 32],[ 3.3 14.7] ; [ 7.7 34.3],0
d5,1,0.103843,2.645503,[11  7] ; [34  8],[13.5  4.5] ; [31.5 10.5],0
n4,1,0.107364,2.592593,[ 8 10] ; [28 14],[10.8  7.2] ; [25.2 16.8],0
n6,1,0.117952,2.444308,[11  6] ; [35  7],[13.25423729  3.74576271] ; [32.74576271  9.25423729],0
s6,1,0.123465,2.372809,[10  8] ; [31 10],[12.50847458  5.49152542] ; [28.49152542 12.50847458],0
s7,1,0.145825,2.115385,[ 4 12] ; [18 21],[6.4 9.6] ; [15.6 23.4],0
p10,1,0.160601,1.968558,[9 9] ; [29 13],[11.4  6.6] ; [26.6 15.4],0
p9,1,0.163645,1.940216,[10  8] ; [31 11],[12.3  5.7] ; [28.7 13.3],0
a2,1,0.17984,1.798942,[ 1 17] ; [ 8 34],[ 2.7 15.3] ; [ 6.3 35.7],0
a7,1,0.211034,1.564318,[ 8 10] ; [26 16],[10.2  7.8] ; [23.8 18.2],0
p3,1,0.211034,1.564318,[ 8 10] ; [26 16],[10.2  7.8] ; [23.8 18.2],0
b3,1,0.221101,1.49721,[ 3 10] ; [12 16],[4.75609756 8.24390244] ; [10.24390244 17.75609756],0
b2,1,0.221101,1.49721,[ 3 10] ; [12 16],[4.75609756 8.24390244] ; [10.24390244 17.75609756],0
p11,1,0.231998,1.428571,[10  8] ; [30 12],[12.  6.] ; [28. 14.],0
s3,1,0.259796,1.269841,[ 7 11] ; [23 19],[9. 9.] ; [21. 21.],0
n3,1,0.345099,0.891396,[5 3] ; [9 2],[5.89473684 2.10526316] ; [8.10526316 2.89473684],0
n1,1,0.387094,0.748052,[4 3] ; [4 7],[3.11111111 3.88888889] ; [4.88888889 6.11111111],0
d2,1,0.463635,0.537105,[ 8 10] ; [23 19],[9.3 8.7] ; [21.7 20.3],0
s5,1,0.503443,0.447672,[ 5 13] ; [14 24],[ 6.10714286 11.89285714] ; [12.89285714 25.10714286],0
p8,1,0.525578,0.402935,[8 9] ; [16 26],[ 6.91525424 10.08474576] ; [17.08474576 24.91525424],0
s8,1,0.533349,0.388007,[ 7 11] ; [20 22],[8.1 9.9] ; [18.9 23.1],0
v1,1,0.541618,0.372549,[ 7 10] ; [20 20],[8.05263158 8.94736842] ; [18.94736842 21.05263158],0
a5,1,0.573663,0.316592,[12  6] ; [31 11],[12.9  5.1] ; [30.1 11.9],0
u2,1,0.59536,0.282051,[3 3] ; [10  6],[3.54545455 2.45454545] ; [9.45454545 6.54545455],0
a3,1,0.602027,0.271949,[12  6] ; [25 17],[11.1  6.9] ; [25.9 16.1],0
d1,1,0.610299,0.25974,[9 9] ; [24 18],[9.9 8.1] ; [23.1 18.9],0
a1,1,0.610299,0.25974,[ 2 16] ; [ 3 39],[ 1.5 16.5] ; [ 3.5 38.5],0
s4,1,0.642414,0.215599,[ 3 15] ; [ 9 32],[ 3.66101695 14.33898305] ; [ 8.33898305 32.66101695],0
s2,1,0.665112,0.187373,[9 9] ; [23 18],[9.76271186 8.23728814] ; [22.23728814 18.76271186],0
n5,1,0.815108,0.054682,[11  7] ; [27 15],[11.4  6.6] ; [26.6 15.4],0
a4,1,0.865698,0.028603,[9 9] ; [20 22],[8.7 9.3] ; [20.3 21.7],0
p1,1,0.897151,0.016708,[ 1 17] ; [ 2 40],[ 0.9 17.1] ; [ 2.1 39.9],0
d4,1,0.898614,0.016234,[13  5] ; [31 11],[13.2  4.8] ; [30.8 11.2],0
b4,1,0.909474,0.012928,[10  8] ; [24 18],[10.2  7.8] ; [23.8 18.2],0
b5,1,0.909474,0.012928,[10  8] ; [24 18],[10.2  7.8] ; [23.8 18.2],0
n2,1,0.911557,0.012338,[6 2] ; [8 3],[5.89473684 2.10526316] ; [8.10526316 2.89473684],0
u3,1,0.930912,0.007516,[4 2] ; [11  6],[3.91304348 2.08695652] ; [11.08695652  5.91304348],0
p6,1,0.951563,0.00369,[ 6 12] ; [14 27],[ 6.10169492 11.89830508] ; [13.89830508 27.10169492],0
d3,1,0.954842,0.003207,[10  8] ; [23 19],[9.9 8.1] ; [23.1 18.9],0
v2,1,0.960238,0.002485,[9 8] ; [22 19],[9.0862069 7.9137931] ; [21.9137931 19.0862069],0
p5,1,1.0,0.0,[ 2 14] ; [ 5 35],[ 2. 14.] ; [ 5. 35.],0
