Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,37.788903,[6 4] ; [277   7],[9.62585034 0.37414966] ; [273.37414966  10.62585034],1
r4,1,0.0,30.5939,[5 5] ; [270  15],[9.3220339 0.6779661] ; [265.6779661  19.3220339],1
r3,1,0.003287,8.641065,[8 2] ; [275   8],[9.65870307 0.34129693] ; [273.34129693   9.65870307],0
r1,1,0.007262,7.206917,[5 5] ; [237  48],[8.20338983 1.79661017] ; [233.79661017  51.20338983],0
p12,1,0.013248,6.135624,[4 6] ; [ 36 248],[1.36054422 8.63945578] ; [ 38.63945578 245.36054422],0
d1,1,0.01414,6.020628,[3 7] ; [192  93],[6.61016949 3.38983051] ; [188.38983051  96.61016949],0
s3,1,0.043762,4.065722,[3 7] ; [174 108],[6.06164384 3.93835616] ; [170.93835616 111.06164384],0
a3,1,0.048821,3.881514,[5 5] ; [218  65],[7.6109215 2.3890785] ; [215.3890785  67.6109215],0
d3,1,0.096507,2.762337,[5 5] ; [208  74],[7.29452055 2.70547945] ; [205.70547945  76.29452055],0
s7,1,0.110292,2.550035,[4 6] ; [176  96],[6.38297872 3.61702128] ; [173.61702128  98.38297872],0
s2,1,0.142387,2.151973,[4 6] ; [178 105],[6.2116041 3.7883959] ; [175.7883959 107.2116041],0
d4,1,0.163492,1.941625,[7 3] ; [243  40],[8.53242321 1.46757679] ; [241.46757679  41.53242321],0
n4,1,0.173091,1.855969,[7 3] ; [244  41],[8.50847458 1.49152542] ; [242.49152542  42.50847458],0
a8,1,0.177229,1.820704,[3 7] ; [ 37 219],[1.5037594 8.4962406] ; [ 38.4962406 217.5037594],0
b5,1,0.189032,1.725146,[8 2] ; [169 116],[6. 4.] ; [171. 114.],0
s6,1,0.196019,1.671787,[6 4] ; [214  62],[7.69230769 2.30769231] ; [212.30769231  63.69230769],0
a2,1,0.208218,1.583773,[1 9] ; [ 80 205],[2.74576271 7.25423729] ; [ 78.25423729 206.74576271],0
u3,1,0.21842,1.514721,[2 3] ; [45 22],[3.26388889 1.73611111] ; [43.73611111 23.26388889],0
n6,1,0.255211,1.29455,[8 2] ; [256  26],[9.04109589 0.95890411] ; [254.95890411  27.04109589],0
u2,1,0.369107,0.806668,[4 1] ; [40 27],[3.05555556 1.94444444] ; [40.94444444 26.05555556],0
d2,1,0.375217,0.786313,[4 6] ; [154 130],[5.37414966 4.62585034] ; [152.62585034 131.37414966],0
a4,1,0.419038,0.653012,[4 6] ; [151 134],[5.25423729 4.74576271] ; [149.74576271 135.25423729],0
p5,1,0.458972,0.548399,[3 7] ; [ 58 227],[2.06779661 7.93220339] ; [ 58.93220339 226.06779661],0
a5,1,0.516808,0.420259,[7 3] ; [224  61],[7.83050847 2.16949153] ; [223.16949153  61.83050847],0
b4,1,0.526353,0.401428,[5 5] ; [171 114],[5.96610169 4.03389831] ; [170.03389831 114.96610169],0
n2,1,0.542472,0.370977,[1 1] ; [40 17],[1.38983051 0.61016949] ; [39.61016949 17.38983051],0
v2,1,0.548363,0.360258,[7 3] ; [169 110],[6.0899654 3.9100346] ; [169.9100346 109.0899654],0
n5,1,0.581818,0.303304,[9 1] ; [237  47],[8.36734694 1.63265306] ; [237.63265306  46.36734694],0
s8,1,0.585208,0.297891,[5 5] ; [166 117],[5.83617747 4.16382253] ; [165.16382253 117.83617747],0
s5,1,0.661424,0.191798,[4 6] ; [127 143],[4.67857143 5.32142857] ; [126.32142857 143.67857143],0
d5,1,0.682544,0.167276,[8 2] ; [239  43],[8.45890411 1.54109589] ; [238.54109589  43.45890411],0
p7,1,0.715466,0.132879,[8 2] ; [236  44],[8.4137931 1.5862069] ; [235.5862069  44.4137931],0
a1,1,0.75553,0.096943,[1 9] ; [ 21 264],[0.74576271 9.25423729] ; [ 21.25423729 263.74576271],0
a7,1,0.785658,0.073959,[7 3] ; [209  74],[7.37201365 2.62798635] ; [208.62798635  74.37201365],0
p10,1,0.791475,0.069905,[9 1] ; [263  22],[9.22033898 0.77966102] ; [262.77966102  22.22033898],0
v1,1,0.792928,0.068912,[6 4] ; [180 101],[6.39175258 3.60824742] ; [179.60824742 101.39175258],0
v3,1,0.800178,0.064068,[4 6] ; [122 155],[4.3902439 5.6097561] ; [121.6097561 155.3902439],0
u1,1,0.815716,0.054316,[2 8] ; [ 66 219],[2.30508475 7.69491525] ; [ 65.69491525 219.30508475],0
p3,1,0.85556,0.033135,[7 3] ; [191  93],[6.73469388 3.26530612] ; [191.26530612  92.73469388],0
b2,1,0.883361,0.021524,[3 3] ; [85 96],[2.82352941 3.17647059] ; [85.17647059 95.82352941],0
b3,1,0.883361,0.021524,[3 3] ; [85 96],[2.82352941 3.17647059] ; [85.17647059 95.82352941],0
a6,1,0.885888,0.020595,[7 3] ; [192  91],[6.79180887 3.20819113] ; [192.20819113  90.79180887],0
s4,1,0.939362,0.005787,[2 8] ; [ 59 222],[2.09621993 7.90378007] ; [ 58.90378007 222.09621993],0
p8,1,0.996187,2.3e-05,[7 3] ; [199  85],[7.00680272 2.99319728] ; [198.99319728  85.00680272],0
b1,1,1.0,0.0,[4 6] ; [114 171],[4. 6.] ; [114. 171.],0
