Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,40.580914,[ 4 10] ; [107   9],[11.95384615  2.04615385] ; [99.04615385 16.95384615],1
v4,1,4.1e-05,16.811133,[8 6] ; [108   8],[12.49230769  1.50769231] ; [103.50769231  12.49230769],1
r1,1,0.003847,8.354632,[6 8] ; [91 25],[10.44615385  3.55384615] ; [86.55384615 29.44615385],0
a5,1,0.006099,7.520707,[7 7] ; [95 21],[10.98461538  3.01538462] ; [91.01538462 24.98461538],0
p9,1,0.006553,7.391443,[8 6] ; [99 16],[11.6124031  2.3875969] ; [95.3875969 19.6124031],0
d1,1,0.014331,5.996935,[ 3 11] ; [65 51],[7.32307692 6.67692308] ; [60.67692308 55.32307692],0
a3,1,0.031612,4.619411,[7 7] ; [89 27],[10.33846154  3.66153846] ; [85.66153846 30.33846154],0
r3,1,0.041164,4.169232,[11  3] ; [109   7],[12.92307692  1.07692308] ; [107.07692308   8.92307692],0
b4,1,0.051773,3.783103,[ 4 10] ; [65 51],[7.43076923 6.56923077] ; [61.56923077 54.43076923],0
a4,1,0.064658,3.413672,[ 3 11] ; [55 61],[6.24615385 7.75384615] ; [51.75384615 64.24615385],0
p10,1,0.149822,2.074065,[9 5] ; [93 22],[11.06976744  2.93023256] ; [90.93023256 24.06976744],0
p11,1,0.17197,1.865686,[9 5] ; [93 23],[10.98461538  3.01538462] ; [91.01538462 24.98461538],0
d2,1,0.198159,1.655894,[5 9] ; [62 53],[7.27131783 6.72868217] ; [59.72868217 55.27131783],0
d3,1,0.201093,1.634416,[ 4 10] ; [54 62],[6.24615385 7.75384615] ; [51.75384615 64.24615385],0
s7,1,0.201404,1.632165,[6 7] ; [72 40],[8.112 4.888] ; [69.888 42.112],0
b2,1,0.202374,1.625158,[3 8] ; [40 44],[4.97894737 6.02105263] ; [38.02105263 45.97894737],0
b3,1,0.202374,1.625158,[3 8] ; [40 44],[4.97894737 6.02105263] ; [38.02105263 45.97894737],0
v2,1,0.207483,1.588903,[5 9] ; [60 52],[7.22222222 6.77777778] ; [57.77777778 54.22222222],0
d5,1,0.20902,1.578199,[9 5] ; [91 24],[10.85271318  3.14728682] ; [89.14728682 25.85271318],0
s8,1,0.209741,1.57321,[6 8] ; [70 46],[8.18461538 5.81538462] ; [67.81538462 48.18461538],0
n6,1,0.224936,1.472597,[10  4] ; [97 18],[11.6124031  2.3875969] ; [95.3875969 19.6124031],0
p7,1,0.252246,1.310823,[12  2] ; [82 33],[10.20155039  3.79844961] ; [83.79844961 31.20155039],0
n5,1,0.278541,1.174197,[9 5] ; [89 26],[10.63565891  3.36434109] ; [87.36434109 27.63565891],0
p5,1,0.302007,1.06531,[ 4 10] ; [20 96],[ 2.58461538 11.41538462] ; [21.41538462 94.58461538],0
s4,1,0.307459,1.041559,[5 9] ; [27 89],[ 3.44615385 10.55384615] ; [28.55384615 87.44615385],0
s5,1,0.32963,0.95035,[5 9] ; [54 55],[6.71544715 7.28455285] ; [52.28455285 56.71544715],0
d4,1,0.356781,0.849194,[10  4] ; [94 21],[11.28682171  2.71317829] ; [92.71317829 22.28682171],0
b1,1,0.373654,0.791478,[9 5] ; [60 56],[7.43076923 6.56923077] ; [61.56923077 54.43076923],0
s6,1,0.38998,0.739003,[9 5] ; [84 28],[10.33333333  3.66666667] ; [82.66666667 29.33333333],0
v1,1,0.411886,0.673349,[6 8] ; [61 51],[7.44444444 6.55555556] ; [59.55555556 52.44444444],0
u3,1,0.548624,0.359788,[4 3] ; [12 15],[3.29411765 3.70588235] ; [12.70588235 14.29411765],0
u2,1,0.548624,0.359788,[3 4] ; [15 12],[3.70588235 3.29411765] ; [14.29411765 12.70588235],0
a6,1,0.579728,0.306675,[7 7] ; [49 67],[6.03076923 7.96923077] ; [49.96923077 66.03076923],0
p6,1,0.585037,0.298161,[5 9] ; [49 64],[5.95275591 8.04724409] ; [48.04724409 64.95275591],0
s3,1,0.643335,0.214406,[8 6] ; [73 42],[8.79069767 5.20930233] ; [72.20930233 42.79069767],0
n4,1,0.644871,0.212428,[11  3] ; [96 19],[11.6124031  2.3875969] ; [95.3875969 19.6124031],0
p2,1,0.709423,0.138854,[11  3] ; [95 20],[11.50387597  2.49612403] ; [94.49612403 20.50387597],0
s1,1,0.757663,0.095204,[ 1 13] ; [  6 110],[ 0.75384615 13.24615385] ; [  6.24615385 109.75384615],0
a8,1,0.770455,0.085135,[ 2 12] ; [13 99],[ 1.66666667 12.33333333] ; [13.33333333 98.66666667],0
v3,1,0.84943,0.036041,[6 8] ; [51 61],[6.33333333 7.66666667] ; [50.66666667 61.33333333],0
s2,1,0.888578,0.019629,[8 6] ; [64 52],[7.75384615 6.24615385] ; [64.24615385 51.75384615],0
p12,1,0.890443,0.018973,[ 1 13] ; [  7 106],[ 0.88188976 13.11811024] ; [  7.11811024 105.88188976],0
p1,1,0.896771,0.016833,[ 2 12] ; [ 15 100],[ 1.84496124 12.15503876] ; [15.15503876 99.84496124],0
p8,1,0.934156,0.006826,[9 5] ; [72 42],[8.859375 5.140625] ; [72.140625 41.859375],0
b5,1,0.937072,0.006233,[6 8] ; [51 65],[6.13846154 7.86153846] ; [50.86153846 65.13846154],0
n3,1,1.0,0.0,[2 1] ; [16  8],[2. 1.] ; [16.  8.],0
