Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.00283,8.913985,[18  4] ; [ 5 10],[13.67567568  8.32432432] ; [9.32432432 5.67567568],0
p10,1,0.044789,4.02656,[18  5] ; [7 8],[15.13157895  7.86842105] ; [9.86842105 5.13157895],0
b5,1,0.044789,4.02656,[18  5] ; [7 8],[15.13157895  7.86842105] ; [9.86842105 5.13157895],0
n1,1,0.05778,3.6,[1 4] ; [4 1],[2.5 2.5] ; [2.5 2.5],0
v2,1,0.06092,3.512149,[17  5] ; [6 7],[14.45714286  7.54285714] ; [8.54285714 4.45714286],0
s2,1,0.088769,2.896549,[17  6] ; [7 8],[14.52631579  8.47368421] ; [9.47368421 5.52631579],0
b1,1,0.097034,2.753623,[ 9 14] ; [10  5],[11.5 11.5] ; [7.5 7.5],0
r1,1,0.106125,2.611,[18  5] ; [8 7],[15.73684211  7.26315789] ; [10.26315789  4.73684211],0
s8,1,0.126279,2.337662,[10 12] ; [10  4],[12.22222222  9.77777778] ; [7.77777778 6.22222222],0
a4,1,0.126474,2.335258,[ 8 15] ; [9 6],[10.28947368 12.71052632] ; [6.71052632 8.28947368],0
d3,1,0.156646,2.00631,[14  8] ; [6 9],[11.89189189 10.10810811] ; [8.10810811 6.89189189],0
b3,1,0.181709,1.783591,[ 4 10] ; [7 6],[5.7037037 8.2962963] ; [5.2962963 7.7037037],0
b2,1,0.181709,1.783591,[ 4 10] ; [7 6],[5.7037037 8.2962963] ; [5.2962963 7.7037037],0
d5,1,0.182227,1.779364,[13  9] ; [12  3],[14.86486486  7.13513514] ; [10.13513514  4.86486486],0
p5,1,0.212957,1.551208,[ 5 18] ; [ 1 14],[ 3.63157895 19.36842105] ; [ 2.36842105 12.63157895],0
s3,1,0.253995,1.301196,[13  9] ; [6 9],[11.2972973 10.7027027] ; [7.7027027 7.2972973],0
v1,1,0.257586,1.281686,[15  8] ; [7 8],[13.31578947  9.68421053] ; [8.68421053 6.31578947],0
v3,1,0.311066,1.026143,[10 12] ; [ 4 10],[ 8.55555556 13.44444444] ; [5.44444444 8.55555556],0
n6,1,0.320428,0.987201,[19  3] ; [11  4],[17.83783784  4.16216216] ; [12.16216216  2.83783784],0
p12,1,0.33909,0.913869,[ 4 19] ; [ 1 14],[ 3.02631579 19.97368421] ; [ 1.97368421 13.02631579],0
p8,1,0.389412,0.740779,[14  9] ; [7 8],[12.71052632 10.28947368] ; [8.28947368 6.71052632],0
a3,1,0.463813,0.536677,[15  8] ; [8 7],[13.92105263  9.07894737] ; [9.07894737 5.92105263],0
u2,1,0.464214,0.535714,[6 2] ; [4 3],[5.33333333 2.66666667] ; [4.66666667 2.33333333],0
d4,1,0.475703,0.508698,[17  5] ; [10  5],[16.05405405  5.94594595] ; [10.94594595  4.05405405],0
n3,1,0.490153,0.47619,[3 2] ; [4 1],[3.5 1.5] ; [3.5 1.5],0
s7,1,0.53085,0.392764,[14  8] ; [8 7],[13.08108108  8.91891892] ; [8.91891892 6.08108108],0
r4,1,0.531257,0.391986,[20  3] ; [14  1],[20.57894737  2.42105263] ; [13.42105263  1.57894737],0
s1,1,0.531257,0.391986,[ 3 20] ; [ 1 14],[ 2.42105263 20.57894737] ; [ 1.57894737 13.42105263],0
a5,1,0.543512,0.36907,[16  7] ; [9 6],[15.13157895  7.86842105] ; [9.86842105 5.13157895],0
n5,1,0.543512,0.36907,[16  7] ; [9 6],[15.13157895  7.86842105] ; [9.86842105 5.13157895],0
p4,1,0.548997,0.359118,[11 11] ; [9 6],[11.89189189 10.10810811] ; [8.10810811 6.89189189],0
p1,1,0.565403,0.330435,[ 3 20] ; [ 3 12],[ 3.63157895 19.36842105] ; [ 2.36842105 12.63157895],0
s6,1,0.595365,0.282044,[21  2] ; [12  2],[20.51351351  2.48648649] ; [12.48648649  1.51351351],0
d1,1,0.635318,0.224918,[12 11] ; [9 6],[12.71052632 10.28947368] ; [8.28947368 6.71052632],0
p11,1,0.717269,0.131125,[14  9] ; [10  5],[14.52631579  8.47368421] ; [9.47368421 5.52631579],0
s4,1,0.726917,0.121961,[ 5 18] ; [ 4 11],[ 5.44736842 17.55263158] ; [ 3.55263158 11.44736842],0
v4,1,0.754356,0.097907,[22  1] ; [14  1],[21.78947368  1.21052632] ; [14.21052632  0.78947368],0
r3,1,0.754356,0.097907,[22  1] ; [14  1],[21.78947368  1.21052632] ; [14.21052632  0.78947368],0
s5,1,0.825887,0.048391,[11 11] ; [7 6],[11.31428571 10.68571429] ; [6.68571429 6.31428571],0
d2,1,0.84213,0.039669,[11 11] ; [8 7],[11.2972973 10.7027027] ; [7.7027027 7.2972973],0
p7,1,0.850962,0.035303,[16  7] ; [10  5],[15.73684211  7.26315789] ; [10.26315789  4.73684211],0
u3,1,0.875996,0.024351,[6 2] ; [5 2],[5.86666667 2.13333333] ; [5.13333333 1.86666667],0
p9,1,0.897724,0.016522,[18  5] ; [12  3],[18.15789474  4.84210526] ; [11.84210526  3.15789474],0
n4,1,0.926661,0.008473,[15  8] ; [10  5],[15.13157895  7.86842105] ; [9.86842105 5.13157895],0
b4,1,0.926661,0.008473,[15  8] ; [10  5],[15.13157895  7.86842105] ; [9.86842105 5.13157895],0
a8,1,0.935075,0.006636,[ 3 18] ; [ 2 13],[ 2.91666667 18.08333333] ; [ 2.08333333 12.91666667],0
p3,1,0.942094,0.005276,[12 10] ; [8 7],[11.89189189 10.10810811] ; [8.10810811 6.89189189],0
