Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.043742,4.066506,[6 2] ; [ 7 14],[3.5862069 4.4137931] ; [ 9.4137931 11.5862069],0
p3,1,0.0513,3.798465,[1 7] ; [11 10],[3.31034483 4.68965517] ; [ 8.68965517 12.31034483],0
a4,1,0.081497,3.034782,[1 7] ; [10 11],[3.03448276 4.96551724] ; [ 7.96551724 13.03448276],0
a5,1,0.092373,2.832522,[3 5] ; [15  6],[4.96551724 3.03448276] ; [13.03448276  7.96551724],0
p7,1,0.120507,2.410714,[5 1] ; [10 11],[3.33333333 2.66666667] ; [11.66666667  9.33333333],0
d3,1,0.121573,2.396939,[6 2] ; [ 9 12],[4.13793103 3.86206897] ; [10.86206897 10.13793103],0
s3,1,0.159255,1.981287,[7 1] ; [12  8],[5.42857143 2.57142857] ; [13.57142857  6.42857143],0
n5,1,0.167792,1.902562,[5 3] ; [18  3],[6.34482759 1.65517241] ; [16.65517241  4.34482759],0
n4,1,0.173016,1.856614,[4 4] ; [16  5],[5.51724138 2.48275862] ; [14.48275862  6.51724138],0
v3,1,0.182989,1.773181,[1 7] ; [ 8 13],[2.48275862 5.51724138] ; [ 6.51724138 14.48275862],0
s6,1,0.182989,1.773181,[7 1] ; [13  8],[5.51724138 2.48275862] ; [14.48275862  6.51724138],0
p6,1,0.227195,1.458333,[2 6] ; [10 10],[3.42857143 4.57142857] ; [ 8.57142857 11.42857143],0
s5,1,0.244551,1.354167,[3 5] ; [ 3 15],[1.84615385 6.15384615] ; [ 4.15384615 13.84615385],0
d2,1,0.268994,1.221872,[2 6] ; [10 11],[3.31034483 4.68965517] ; [ 8.68965517 12.31034483],0
b5,1,0.268994,1.221872,[6 2] ; [11 10],[4.68965517 3.31034483] ; [12.31034483  8.68965517],0
a3,1,0.277877,1.177444,[4 4] ; [15  6],[5.24137931 2.75862069] ; [13.75862069  7.24137931],0
n2,1,0.287495,1.131313,[2 1] ; [10  1],[2.57142857 0.42857143] ; [9.42857143 1.57142857],0
r3,1,0.299328,1.077188,[5 3] ; [17  4],[6.06896552 1.93103448] ; [15.93103448  5.06896552],0
p9,1,0.305507,1.05,[6 2] ; [18  2],[6.85714286 1.14285714] ; [17.14285714  2.85714286],0
v2,1,0.344085,0.895153,[3 5] ; [12  9],[4.13793103 3.86206897] ; [10.86206897 10.13793103],0
p8,1,0.344085,0.895153,[5 3] ; [ 9 12],[3.86206897 4.13793103] ; [10.13793103 10.86206897],0
a7,1,0.344085,0.895153,[5 3] ; [ 9 12],[3.86206897 4.13793103] ; [10.13793103 10.86206897],0
a6,1,0.344085,0.895153,[5 3] ; [ 9 12],[3.86206897 4.13793103] ; [10.13793103 10.86206897],0
p4,1,0.408384,0.683502,[4 4] ; [14  7],[4.96551724 3.03448276] ; [13.03448276  7.96551724],0
r2,1,0.409454,0.680387,[4 2] ; [ 9 10],[3.12 2.88] ; [9.88 9.12],0
u3,1,0.429195,0.625,[3 1] ; [3 3],[2.4 1.6] ; [3.6 2.4],0
v4,1,0.449692,0.571429,[6 1] ; [15  6],[5.25 1.75] ; [15.75  5.25],0
s2,1,0.45426,0.56,[6 2] ; [12  8],[5.14285714 2.85714286] ; [12.85714286  7.14285714],0
n1,1,0.514828,0.424242,[1 2] ; [6 5],[1.5 1.5] ; [5.5 5.5],0
v1,1,0.579997,0.30624,[4 3] ; [ 9 11],[3.37037037 3.62962963] ; [ 9.62962963 10.37037037],0
s7,1,0.639703,0.21913,[7 1] ; [16  4],[6.57142857 1.42857143] ; [16.42857143  3.57142857],0
d5,1,0.642279,0.215774,[5 3] ; [15  6],[5.51724138 2.48275862] ; [14.48275862  6.51724138],0
r1,1,0.664617,0.187963,[2 6] ; [ 7 14],[2.48275862 5.51724138] ; [ 6.51724138 14.48275862],0
p2,1,0.676531,0.174058,[7 1] ; [17  4],[6.62068966 1.37931034] ; [17.37931034  3.62068966],0
s4,1,0.723582,0.125086,[2 6] ; [ 4 17],[1.65517241 6.34482759] ; [ 4.34482759 16.65517241],0
d4,1,0.723582,0.125086,[6 2] ; [17  4],[6.34482759 1.65517241] ; [16.65517241  4.34482759],0
p11,1,0.723582,0.125086,[6 2] ; [17  4],[6.34482759 1.65517241] ; [16.65517241  4.34482759],0
b4,1,0.729571,0.119505,[4 4] ; [12  9],[4.4137931 3.5862069] ; [11.5862069  9.4137931],0
d1,1,0.729571,0.119505,[4 4] ; [ 9 12],[3.5862069 4.4137931] ; [ 9.4137931 11.5862069],0
p5,1,0.900807,0.015536,[1 7] ; [ 3 18],[1.10344828 6.89655172] ; [ 2.89655172 18.10344828],0
a2,1,0.900807,0.015536,[1 7] ; [ 3 18],[1.10344828 6.89655172] ; [ 2.89655172 18.10344828],0
