Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000852,11.124678,[ 4 22] ; [10  5],[ 8.87804878 17.12195122] ; [5.12195122 9.87804878],1
a5,1,0.001285,10.364182,[ 9 17] ; [13  2],[13.95121951 12.04878049] ; [8.04878049 6.95121951],0
p7,1,0.003106,8.744125,[ 4 22] ; [9 6],[ 8.24390244 17.75609756] ; [ 4.75609756 10.24390244],0
p6,1,0.00458,8.038232,[ 2 23] ; [7 8],[ 5.625 19.375] ; [ 3.375 11.625],0
p10,1,0.025685,4.977084,[ 8 18] ; [10  5],[11.41463415 14.58536585] ; [6.58536585 8.41463415],0
s2,1,0.029442,4.741601,[ 4 22] ; [7 8],[ 6.97560976 19.02439024] ; [ 4.02439024 10.97560976],0
p2,1,0.032877,4.552189,[ 8 17] ; [10  5],[11.25 13.75] ; [6.75 8.25],0
s4,1,0.035579,4.417151,[ 2 24] ; [ 5 10],[ 4.43902439 21.56097561] ; [ 2.56097561 12.43902439],0
s6,1,0.036203,4.3875,[ 7 19] ; [8 5],[10. 16.] ; [5. 8.],0
s3,1,0.047439,3.929733,[ 9 17] ; [10  5],[12.04878049 13.95121951] ; [6.95121951 8.04878049],0
p8,1,0.089686,2.88,[ 4 21] ; [6 9],[ 6.25 18.75] ; [ 3.75 11.25],0
d3,1,0.091193,2.85319,[12 14] ; [11  4],[14.58536585 11.41463415] ; [8.41463415 6.58536585],0
s7,1,0.091696,2.844341,[ 5 20] ; [6 7],[ 7.23684211 17.76315789] ; [3.76315789 9.23684211],0
v1,1,0.117936,2.44452,[ 6 20] ; [7 8],[ 8.24390244 17.75609756] ; [ 4.75609756 10.24390244],0
p9,1,0.132839,2.259005,[11 15] ; [10  5],[13.31707317 12.68292683] ; [7.68292683 7.31707317],0
u2,1,0.182422,1.777778,[ 2 10] ; [2 2],[3. 9.] ; [1. 3.],0
n3,1,0.184708,1.759334,[4 7] ; [3 1],[5.13333333 5.86666667] ; [1.86666667 2.13333333],0
n6,1,0.184844,1.758242,[11 15] ; [9 5],[13. 13.] ; [7. 7.],0
a3,1,0.217915,1.518051,[14 12] ; [11  4],[15.85365854 10.14634146] ; [9.14634146 5.85365854],0
a2,1,0.246042,1.345641,[ 2 24] ; [ 3 12],[ 3.17073171 22.82926829] ; [ 1.82926829 13.17073171],0
d1,1,0.274986,1.191703,[11 15] ; [9 6],[12.68292683 13.31707317] ; [7.31707317 7.68292683],0
d4,1,0.321829,0.981499,[17  9] ; [12  3],[18.3902439  7.6097561] ; [10.6097561  4.3902439],0
v2,1,0.355358,0.85423,[10 16] ; [8 7],[11.41463415 14.58536585] ; [6.58536585 8.41463415],0
b1,1,0.422206,0.644168,[14 12] ; [10  5],[15.2195122 10.7804878] ; [8.7804878 6.2195122],0
d5,1,0.453472,0.561958,[18  8] ; [12  3],[19.02439024  6.97560976] ; [10.97560976  4.02439024],0
s8,1,0.4603,0.545165,[ 3 23] ; [ 3 12],[ 3.80487805 22.19512195] ; [ 2.19512195 12.80487805],0
r4,1,0.495283,0.465029,[11 15] ; [8 7],[12.04878049 13.95121951] ; [6.95121951 8.04878049],0
