Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000399,12.538721,[20 34] ; [18  4],[27. 27.] ; [11. 11.],1
p3,1,0.000558,11.911981,[12 42] ; [14  8],[18.47368421 35.52631579] ; [ 7.52631579 14.47368421],1
p7,1,0.001592,9.969231,[20 32] ; [16  4],[26. 26.] ; [10. 10.],0
p8,1,0.01044,6.55817,[19 34] ; [15  7],[24.02666667 28.97333333] ; [ 9.97333333 12.02666667],0
s8,1,0.010983,6.467989,[12 42] ; [11 10],[16.56 37.44] ; [ 6.44 14.56],0
b4,1,0.041135,4.170435,[38 16] ; [10 12],[34.10526316 19.89473684] ; [13.89473684  8.10526316],0
s2,1,0.043736,4.066731,[18 35] ; [12  8],[21.78082192 31.21917808] ; [ 8.21917808 11.78082192],0
n5,1,0.044133,4.051448,[32 20] ; [18  3],[35.61643836 16.38356164] ; [14.38356164  6.61643836],0
b5,1,0.050652,3.819747,[26 28] ; [16  6],[29.84210526 24.15789474] ; [12.15789474  9.84210526],0
b1,1,0.055579,3.664639,[19 35] ; [13  9],[22.73684211 31.26315789] ; [ 9.26315789 12.73684211],0
n3,1,0.090969,2.857143,[16  5] ; [4 5],[14.  7.] ; [6. 3.],0
p2,1,0.09543,2.780312,[39 14] ; [20  2],[41.69333333 11.30666667] ; [17.30666667  4.69333333],0
s7,1,0.099481,2.713846,[20 32] ; [12  8],[23.11111111 28.88888889] ; [ 8.88888889 11.11111111],0
p5,1,0.123098,2.377457,[ 5 48] ; [ 5 17],[ 7.06666667 45.93333333] ; [ 2.93333333 19.06666667],0
a4,1,0.129059,2.303792,[17 37] ; [11 11],[19.89473684 34.10526316] ; [ 8.10526316 13.89473684],0
p12,1,0.147184,2.101201,[ 1 52] ; [ 2 20],[ 2.12 50.88] ; [ 0.88 21.12],0
u1,1,0.165118,1.926718,[ 4 50] ; [ 4 18],[ 5.68421053 48.31578947] ; [ 2.31578947 19.68421053],0
v3,1,0.182328,1.778544,[10 43] ; [ 7 14],[12.17567568 40.82432432] ; [ 4.82432432 16.17567568],0
v1,1,0.193164,1.693322,[17 34] ; [10 10],[19.3943662 31.6056338] ; [ 7.6056338 12.3943662],0
p9,1,0.214276,1.542301,[38 14] ; [19  3],[40.05405405 11.94594595] ; [16.94594595  5.05405405],0
v2,1,0.261985,1.258236,[24 29] ; [12  8],[26.1369863 26.8630137] ; [ 9.8630137 10.1369863],0
a2,1,0.274918,1.192042,[ 5 49] ; [ 4 18],[ 6.39473684 47.60526316] ; [ 2.60526316 19.39473684],0
d5,1,0.289314,1.122809,[35 19] ; [17  5],[36.94736842 17.05263158] ; [15.05263158  6.94736842],0
d3,1,0.311674,1.023569,[29 25] ; [ 9 13],[27. 27.] ; [11. 11.],0
s6,1,0.328123,0.956292,[25 28] ; [12  8],[26.8630137 26.1369863] ; [10.1369863  9.8630137],0
a1,1,0.340157,0.909839,[ 2 52] ; [ 2 20],[ 2.84210526 51.15789474] ; [ 1.15789474 20.84210526],0
v4,1,0.348174,0.880102,[31 18] ; [15  5],[32.66666667 16.33333333] ; [13.33333333  6.66666667],0
r2,1,0.364079,0.823776,[26 23] ; [13  7],[27.69565217 21.30434783] ; [11.30434783  8.69565217],0
a7,1,0.378225,0.776464,[30 23] ; [10 12],[28.26666667 24.73333333] ; [11.73333333 10.26666667],0
b2,1,0.379489,0.772356,[ 7 28] ; [ 5 11],[ 8.23529412 26.76470588] ; [ 3.76470588 12.23529412],0
b3,1,0.379489,0.772356,[ 7 28] ; [ 5 11],[ 8.23529412 26.76470588] ; [ 3.76470588 12.23529412],0
u3,1,0.397332,0.716387,[11 11] ; [3 6],[ 9.93548387 12.06451613] ; [4.06451613 4.93548387],0
a5,1,0.51757,0.418733,[30 24] ; [14  8],[31.26315789 22.73684211] ; [12.73684211  9.26315789],0
a8,1,0.645638,0.211445,[ 4 45] ; [ 1 19],[ 3.55072464 45.44927536] ; [ 1.44927536 18.55072464],0
s3,1,0.648942,0.207237,[22 28] ; [10 10],[22.85714286 27.14285714] ; [ 9.14285714 10.85714286],0
u2,1,0.690279,0.158784,[11 10] ; [6 4],[11.51612903  9.48387097] ; [5.48387097 4.51612903],0
a3,1,0.705823,0.142485,[32 22] ; [12 10],[31.26315789 22.73684211] ; [12.73684211  9.26315789],0
s4,1,0.744092,0.106563,[11 43] ; [ 5 16],[11.52 42.48] ; [ 4.48 16.52],0
n2,1,0.770515,0.08509,[16  6] ; [7 2],[16.32258065  5.67741935] ; [6.67741935 2.32258065],0
p1,1,0.775781,0.081123,[ 6 47] ; [ 2 20],[ 5.65333333 47.34666667] ; [ 2.34666667 19.65333333],0
s5,1,0.788701,0.071823,[13 41] ; [ 4 15],[12.57534247 41.42465753] ; [ 4.42465753 14.57534247],0
r1,1,0.817068,0.053508,[14 39] ; [ 5 16],[13.60810811 39.39189189] ; [ 5.39189189 15.60810811],0
a6,1,0.831102,0.045492,[28 26] ; [12 10],[28.42105263 25.57894737] ; [11.57894737 10.42105263],0
r3,1,0.833792,0.044033,[37 14] ; [15  5],[37.35211268 13.64788732] ; [14.64788732  5.35211268],0
n4,1,0.837159,0.042242,[33 21] ; [14  8],[33.39473684 20.60526316] ; [13.60526316  8.39473684],0
n1,1,0.856315,0.032785,[ 9 13] ; [4 5],[ 9.22580645 12.77419355] ; [3.77419355 5.22580645],0
n6,1,0.87346,0.025365,[38 13] ; [16  6],[37.7260274 13.2739726] ; [16.2739726  5.7260274],0
p10,1,0.886333,0.020433,[38 14] ; [15  6],[37.75342466 14.24657534] ; [15.24657534  5.75342466],0
d4,1,0.889183,0.019415,[37 16] ; [15  7],[36.74666667 16.25333333] ; [15.25333333  6.74666667],0
d2,1,0.917535,0.01072,[21 32] ; [ 9 13],[21.2 31.8] ; [ 8.8 13.2],0
d1,1,0.989194,0.000183,[22 32] ; [ 9 13],[22.02631579 31.97368421] ; [ 8.97368421 13.02631579],0
