Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,100.864331,[70 48] ; [361  18],[102.32997988  15.67002012] ; [328.67002012  50.32997988],1
r2,1,0.0,48.805722,[89 26] ; [364  11],[106.31632653   8.68367347] ; [346.68367347  28.31632653],1
a5,1,0.0,27.206941,[58 60] ; [283  96],[80.96177062 37.03822938] ; [260.03822938 118.96177062],1
v4,1,1e-06,24.986111,[100  18] ; [368  11],[111.11468813   6.88531187] ; [356.88531187  22.11468813],1
d1,1,6e-06,20.383794,[44 74] ; [231 148],[65.2917505 52.7082495] ; [209.7082495 169.2917505],1
d3,1,3e-05,17.445958,[60 57] ; [273 106],[78.55040323 38.44959677] ; [254.44959677 124.55040323],1
a7,1,4.9e-05,16.482838,[68 49] ; [292  86],[85.09090909 31.90909091] ; [274.90909091 103.09090909],1
v2,1,5e-05,16.461365,[44 73] ; [214 148],[63.01878914 53.98121086] ; [194.98121086 167.01878914],1
d4,1,6.3e-05,15.999347,[77 41] ; [313  66],[92.59557344 25.40442656] ; [297.40442656  81.59557344],1
u1,1,0.000109,14.9732,[  5 113] ; [ 72 307],[18.28169014 99.71830986] ; [ 58.71830986 320.28169014],1
a2,1,0.00017,14.133,[ 10 108] ; [ 93 286],[24.45472837 93.54527163] ; [ 78.54527163 300.45472837],1
u3,1,0.000382,12.620032,[15 36] ; [66 45],[25.5 25.5] ; [55.5 55.5],1
v1,1,0.000958,10.907475,[41 73] ; [198 171],[56.40993789 57.59006211] ; [182.59006211 186.40993789],1
a4,1,0.001208,10.477915,[32 85] ; [166 210],[46.98985801 70.01014199] ; [151.01014199 224.98985801],0
s8,1,0.001259,10.401749,[29 89] ; [155 223],[43.77419355 74.22580645] ; [140.22580645 237.77419355],0
d5,1,0.00133,10.300635,[79 38] ; [309  70],[91.52419355 25.47580645] ; [296.47580645  82.52419355],0
s6,1,0.001407,10.196737,[52 65] ; [230 146],[66.92494929 50.07505071] ; [215.07505071 160.92494929],0
a6,1,0.00233,9.269308,[66 52] ; [269 110],[79.53722334 38.46277666] ; [255.46277666 123.53722334],0
a3,1,0.002627,9.050306,[66 52] ; [267 110],[79.38181818 38.61818182] ; [253.61818182 123.38181818],0
s7,1,0.002893,8.873962,[33 79] ; [165 199],[46.58823529 65.41176471] ; [151.41176471 212.58823529],0
s3,1,0.002904,8.866615,[40 76] ; [188 186],[53.9755102 62.0244898] ; [174.0244898 199.9755102],0
d2,1,0.004704,7.989791,[40 77] ; [186 193],[53.31048387 63.68951613] ; [172.68951613 206.31048387],0
r3,1,0.005496,7.708398,[104  13] ; [363  16],[110.15927419   6.84072581] ; [356.84072581  22.15927419],0
p2,1,0.006586,7.382518,[86 32] ; [316  60],[96.0242915 21.9757085] ; [305.9757085  70.0242915],0
s2,1,0.006812,7.321986,[33 85] ; [157 218],[45.47667343 72.52332657] ; [144.52332657 230.47667343],0
p4,1,0.008387,6.948908,[53 64] ; [223 154],[65.36842105 51.63157895] ; [210.63157895 166.36842105],0
p10,1,0.010561,6.53776,[81 35] ; [303  71],[90.90612245 25.09387755] ; [293.09387755  80.90612245],0
n4,1,0.016473,5.751647,[84 34] ; [308  70],[93.25806452 24.74193548] ; [298.74193548  79.25806452],0
p7,1,0.041476,4.156461,[59 58] ; [226 144],[68.47022587 48.52977413] ; [216.52977413 153.47022587],0
n5,1,0.077195,3.122989,[84 33] ; [300  77],[90.94736842 26.05263158] ; [293.05263158  83.94736842],0
u2,1,0.082557,3.01383,[21 30] ; [62 49],[26.12962963 24.87037037] ; [56.87037037 54.12962963],0
p8,1,0.1022,2.670871,[49 68] ; [188 184],[56.70552147 60.29447853] ; [180.29447853 191.70552147],0
p6,1,0.104463,2.636055,[29 86] ; [125 251],[36.06924644 78.93075356] ; [117.93075356 258.06924644],0
v3,1,0.105364,2.62241,[37 81] ; [144 219],[44.4033264 73.5966736] ; [136.5966736 226.4033264],0
a8,1,0.113399,2.506207,[ 10 101] ; [ 51 291],[14.94701987 96.05298013] ; [ 46.05298013 295.94701987],0
p11,1,0.114763,2.487378,[88 30] ; [308  71],[94.02012072 23.97987928] ; [301.97987928  77.02012072],0
b5,1,0.179562,1.801243,[80 38] ; [231 148],[73.83903421 44.16096579] ; [237.16096579 141.83903421],0
s1,1,0.198623,1.652468,[  1 117] ; [ 11 363],[  2.87804878 115.12195122] ; [  9.12195122 364.87804878],0
u4,1,0.204118,1.612661,[  1 117] ; [ 11 368],[  2.84909457 115.15090543] ; [  9.15090543 369.84909457],0
p3,1,0.252632,1.308692,[48 70] ; [176 201],[53.3979798 64.6020202] ; [170.6020202 206.3979798],0
p9,1,0.298232,1.082084,[89 25] ; [309  66],[92.78527607 21.21472393] ; [305.21472393  69.78527607],0
a1,1,0.406119,0.690134,[  3 115] ; [ 16 363],[  4.5110664 113.4889336] ; [ 14.4889336 364.5110664],0
b4,1,0.535758,0.383459,[65 53] ; [221 158],[67.90342052 50.09657948] ; [218.09657948 160.90342052],0
b3,1,0.539052,0.377299,[23 46] ; [ 86 144],[25.15384615 43.84615385] ; [ 83.84615385 146.15384615],0
b2,1,0.539052,0.377299,[23 46] ; [ 86 144],[25.15384615 43.84615385] ; [ 83.84615385 146.15384615],0
s4,1,0.541325,0.37309,[ 16 102] ; [ 43 332],[ 14.12170385 103.87829615] ; [ 44.87829615 330.12170385],0
p5,1,0.691383,0.157593,[  6 111] ; [ 23 353],[  6.88235294 110.11764706] ; [ 22.11764706 353.88235294],0
p12,1,0.767975,0.08704,[  6 111] ; [ 22 354],[  6.64503043 110.35496957] ; [ 21.35496957 354.64503043],0
n3,1,0.861248,0.03055,[26 11] ; [57 26],[25.59166667 11.40833333] ; [57.40833333 25.59166667],0
p1,1,0.865207,0.028815,[  7 111] ; [ 24 353],[  7.38989899 110.61010101] ; [ 23.61010101 353.38989899],0
n1,1,0.888836,0.019538,[12 25] ; [28 55],[12.33333333 24.66666667] ; [27.66666667 55.33333333],0
n2,1,0.904165,0.014496,[25 12] ; [57 26],[25.28333333 11.71666667] ; [56.71666667 26.28333333],0
b1,1,0.954138,0.003308,[42 76] ; [136 243],[42.26156942 75.73843058] ; [135.73843058 243.26156942],0
