Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.000308,13.023088,[14  4] ; [ 8 24],[ 7.92 10.08] ; [14.08 17.92],1
p11,1,0.000532,11.998871,[14  4] ; [ 9 24],[8.11764706 9.88235294] ; [14.88235294 18.11764706],1
p10,1,0.001736,9.810059,[12  6] ; [ 7 25],[ 6.84 11.16] ; [12.16 19.84],0
p4,1,0.007699,7.102229,[9 9] ; [ 5 28],[ 4.94117647 13.05882353] ; [ 9.05882353 23.94117647],0
p8,1,0.00856,6.912335,[ 7 10] ; [ 3 29],[ 3.46938776 13.53061224] ; [ 6.53061224 25.46938776],0
d3,1,0.01222,6.278712,[12  6] ; [10 23],[ 7.76470588 10.23529412] ; [14.23529412 18.76470588],0
n6,1,0.018422,5.555556,[13  5] ; [12 20],[9. 9.] ; [16. 16.],0
s6,1,0.022705,5.190967,[9 8] ; [ 7 26],[ 5.44 11.56] ; [10.56 22.44],0
s2,1,0.026346,4.933161,[ 7 11] ; [ 4 29],[ 3.88235294 14.11764706] ; [ 7.11764706 25.88235294],0
p6,1,0.035224,4.434293,[ 5 13] ; [ 2 30],[ 2.52 15.48] ; [ 4.48 27.52],0
r3,1,0.042226,4.126118,[14  4] ; [16 17],[10.58823529  7.41176471] ; [19.41176471 13.58823529],0
p3,1,0.056159,3.647339,[ 7 11] ; [ 5 28],[ 4.23529412 13.76470588] ; [ 7.76470588 25.23529412],0
s3,1,0.067532,3.342014,[11  7] ; [11 21],[ 7.92 10.08] ; [14.08 17.92],0
s8,1,0.079496,3.075185,[ 5 13] ; [ 3 30],[ 2.82352941 15.17647059] ; [ 5.17647059 27.82352941],0
r4,1,0.081842,3.027946,[ 8 10] ; [ 7 26],[ 5.29411765 12.70588235] ; [ 9.70588235 23.29411765],0
v2,1,0.094599,2.794312,[ 8 10] ; [ 7 25],[ 5.4 12.6] ; [ 9.6 22.4],0
n3,1,0.125249,2.350427,[3 1] ; [ 6 12],[1.63636364 2.36363636] ; [ 7.36363636 10.63636364],0
p7,1,0.176435,1.827396,[ 7 11] ; [ 7 26],[ 4.94117647 13.05882353] ; [ 9.05882353 23.94117647],0
p1,1,0.210493,1.568034,[ 1 17] ; [ 6 27],[ 2.47058824 15.52941176] ; [ 4.52941176 28.47058824],0
d5,1,0.216599,1.52676,[13  5] ; [18 15],[10.94117647  7.05882353] ; [20.05882353 12.94117647],0
s5,1,0.232414,1.426025,[ 5 12] ; [ 5 28],[ 3.4 13.6] ; [ 6.6 26.4],0
p5,1,0.253721,1.302699,[ 2 16] ; [ 1 31],[ 1.08 16.92] ; [ 1.92 30.08],0
b5,1,0.267663,1.228684,[10  8] ; [13 20],[8.11764706 9.88235294] ; [14.88235294 18.11764706],0
n1,1,0.314648,1.011065,[1 3] ; [10  9],[1.91304348 2.08695652] ; [9.08695652 9.91304348],0
d2,1,0.333467,0.935386,[ 7 11] ; [17 15],[8.64 9.36] ; [15.36 16.64],0
a6,1,0.464877,0.534127,[9 9] ; [13 20],[ 7.76470588 10.23529412] ; [14.23529412 18.76470588],0
n2,1,0.524052,0.405911,[1 3] ; [ 8 11],[1.56521739 2.43478261] ; [ 7.43478261 11.56521739],0
s7,1,0.553496,0.351091,[ 2 14] ; [ 6 25],[ 2.72340426 13.27659574] ; [ 5.27659574 25.72340426],0
r2,1,0.584281,0.299365,[9 9] ; [18 13],[9.91836735 8.08163265] ; [17.08163265 13.91836735],0
p12,1,0.625893,0.237671,[ 1 16] ; [ 1 32],[ 0.68 16.32] ; [ 1.32 31.68],0
u2,1,0.629412,0.232859,[2 7] ; [ 5 11],[2.52 6.48] ; [ 4.48 11.52],0
u1,1,0.657052,0.197124,[ 1 17] ; [ 1 32],[ 0.70588235 17.29411765] ; [ 1.29411765 31.70588235],0
v3,1,0.658827,0.194952,[ 2 16] ; [ 5 27],[ 2.52 15.48] ; [ 4.48 27.52],0
b2,1,0.680724,0.169312,[4 4] ; [10 14],[3.5 4.5] ; [10.5 13.5],0
b3,1,0.680724,0.169312,[4 4] ; [10 14],[3.5 4.5] ; [10.5 13.5],0
n4,1,0.691555,0.157407,[11  7] ; [22 11],[11.64705882  6.35294118] ; [21.35294118 11.64705882],0
a8,1,0.749277,0.10214,[ 3 13] ; [ 5 28],[ 2.6122449 13.3877551] ; [ 5.3877551 27.6122449],0
a7,1,0.75596,0.096591,[9 9] ; [15 18],[8.47058824 9.52941176] ; [15.52941176 17.47058824],0
a4,1,0.797046,0.066138,[ 5 13] ; [10 22],[ 5.4 12.6] ; [ 9.6 22.4],0
d1,1,0.806336,0.060101,[ 7 11] ; [14 19],[ 7.41176471 10.58823529] ; [13.58823529 19.41176471],0
d4,1,0.823629,0.049675,[12  6] ; [23 10],[12.35294118  5.64705882] ; [22.64705882 10.35294118],0
b4,1,0.828671,0.046832,[12  6] ; [21 12],[11.64705882  6.35294118] ; [21.35294118 11.64705882],0
a3,1,0.831871,0.045072,[9 9] ; [17 15],[9.36 8.64] ; [16.64 15.36],0
n5,1,0.858526,0.031773,[11  7] ; [21 12],[11.29411765  6.70588235] ; [20.70588235 12.29411765],0
s4,1,0.914793,0.011448,[ 2 16] ; [ 4 29],[ 2.11764706 15.88235294] ; [ 3.88235294 29.11764706],0
a5,1,0.917616,0.010699,[9 9] ; [17 16],[9.17647059 8.82352941] ; [16.82352941 16.17647059],0
b1,1,0.917616,0.010699,[9 9] ; [17 16],[9.17647059 8.82352941] ; [16.82352941 16.17647059],0
u3,1,0.918299,0.010522,[1 8] ; [ 2 14],[1.08 7.92] ; [ 1.92 14.08],0
r1,1,0.971838,0.001246,[ 7 11] ; [13 20],[ 7.05882353 10.94117647] ; [12.94117647 20.05882353],0
