Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.041074,4.172958,[ 5 17] ; [4 2],[ 7.07142857 14.92857143] ; [1.92857143 4.07142857],0
a2,1,0.04329,4.08404,[ 1 21] ; [2 4],[ 2.35714286 19.64285714] ; [0.64285714 5.35714286],0
s1,1,0.04329,4.08404,[ 1 21] ; [2 4],[ 2.35714286 19.64285714] ; [0.64285714 5.35714286],0
v4,1,0.054332,3.702479,[19  3] ; [3 3],[17.28571429  4.71428571] ; [4.71428571 1.28571429],0
p5,1,0.110612,2.545455,[ 4 18] ; [3 3],[ 5.5 16.5] ; [1.5 4.5],0
p9,1,0.12706,2.328061,[17  4] ; [3 3],[15.55555556  5.44444444] ; [4.44444444 1.55555556],0
p1,1,0.132529,2.262626,[ 2 20] ; [2 4],[ 3.14285714 18.85714286] ; [0.85714286 5.14285714],0
a3,1,0.143606,2.138889,[11 11] ; [5 1],[12.57142857  9.42857143] ; [3.42857143 2.57142857],0
p3,1,0.143606,2.138889,[11 11] ; [1 5],[ 9.42857143 12.57142857] ; [2.57142857 3.42857143],0
a6,1,0.143606,2.138889,[11 11] ; [5 1],[12.57142857  9.42857143] ; [3.42857143 2.57142857],0
d4,1,0.143606,2.138889,[11 11] ; [5 1],[12.57142857  9.42857143] ; [3.42857143 2.57142857],0
p4,1,0.18367,1.767677,[14  8] ; [2 4],[12.57142857  9.42857143] ; [3.42857143 2.57142857],0
v1,1,0.18367,1.767677,[ 8 14] ; [4 2],[ 9.42857143 12.57142857] ; [2.57142857 3.42857143],0
a7,1,0.262125,1.257498,[ 9 13] ; [4 2],[10.21428571 11.78571429] ; [2.78571429 3.21428571],0
d2,1,0.262125,1.257498,[ 9 13] ; [4 2],[10.21428571 11.78571429] ; [2.78571429 3.21428571],0
v3,1,0.289471,1.122078,[ 3 18] ; [2 4],[ 3.88888889 17.11111111] ; [1.11111111 4.88888889],0
p10,1,0.290689,1.116427,[16  6] ; [3 3],[14.92857143  7.07142857] ; [4.07142857 1.92857143],0
a4,1,0.290689,1.116427,[ 6 16] ; [3 3],[ 7.07142857 14.92857143] ; [1.92857143 4.07142857],0
s3,1,0.34509,0.891429,[ 9 12] ; [1 4],[ 8.07692308 12.92307692] ; [1.92307692 3.07692308],0
p7,1,0.372929,0.793882,[13  8] ; [2 3],[12.11538462  8.88461538] ; [2.88461538 2.11538462],0
s5,1,0.410004,0.678788,[ 7 15] ; [3 3],[ 7.85714286 14.14285714] ; [2.14285714 3.85714286],0
s6,1,0.410214,0.678179,[10 11] ; [4 2],[10.88888889 10.11111111] ; [3.11111111 2.88888889],0
n6,1,0.426285,0.632922,[17  5] ; [3 2],[16.2962963  5.7037037] ; [3.7037037 1.2962963],0
s8,1,0.430412,0.621711,[ 7 14] ; [1 5],[ 6.22222222 14.77777778] ; [1.77777778 4.22222222],0
a5,1,0.466479,0.530303,[15  7] ; [5 1],[15.71428571  6.28571429] ; [4.28571429 1.71428571],0
d3,1,0.468084,0.526496,[11 11] ; [4 2],[11.78571429 10.21428571] ; [3.21428571 2.78571429],0
r1,1,0.594853,0.282828,[10 12] ; [2 4],[ 9.42857143 12.57142857] ; [2.57142857 3.42857143],0
r2,1,0.594853,0.282828,[17  5] ; [4 2],[16.5  5.5] ; [4.5 1.5],0
d5,1,0.594853,0.282828,[12 10] ; [4 2],[12.57142857  9.42857143] ; [3.42857143 2.57142857],0
n5,1,0.594853,0.282828,[16  6] ; [5 1],[16.5  5.5] ; [4.5 1.5],0
n2,1,0.648807,0.207407,[8 4] ; [1 1],[7.71428571 4.28571429] ; [1.28571429 0.71428571],0
s7,1,0.663674,0.189091,[ 8 12] ; [3 3],[ 8.46153846 11.53846154] ; [2.53846154 3.46153846],0
p8,1,0.675422,0.175325,[12  9] ; [4 2],[12.44444444  8.55555556] ; [3.55555556 2.44444444],0
s2,1,0.736268,0.113434,[ 9 13] ; [2 4],[ 8.64285714 13.35714286] ; [2.35714286 3.64285714],0
v2,1,0.82176,0.050752,[ 6 15] ; [2 4],[ 6.22222222 14.77777778] ; [1.77777778 4.22222222],0
n4,1,0.890782,0.018855,[14  8] ; [4 2],[14.14285714  7.85714286] ; [3.85714286 2.14285714],0
b5,1,0.943843,0.004962,[15  7] ; [4 2],[14.92857143  7.07142857] ; [4.07142857 1.92857143],0
p6,1,0.943843,0.004962,[ 7 15] ; [2 4],[ 7.07142857 14.92857143] ; [1.92857143 4.07142857],0
r4,1,0.943843,0.004962,[ 7 15] ; [2 4],[ 7.07142857 14.92857143] ; [1.92857143 4.07142857],0
b1,1,1.0,0.0,[11 11] ; [3 3],[11. 11.] ; [3. 3.],0
n1,1,1.0,0.0,[6 6] ; [1 1],[6. 6.] ; [1. 1.],0
