Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,9.5e-05,15.237667,[11 15] ; [35  5],[18.12121212  7.87878788] ; [27.87878788 12.12121212],1
p4,1,0.001951,9.595385,[12 14] ; [33  7],[17.72727273  8.27272727] ; [27.27272727 12.72727273],0
b1,1,0.004716,7.985188,[ 7 19] ; [25 15],[12.60606061 13.39393939] ; [19.39393939 20.60606061],0
s6,1,0.018559,5.542595,[11 13] ; [30 10],[15.375  8.625] ; [25.625 14.375],0
a8,1,0.044328,4.044032,[ 4 20] ; [ 1 38],[ 1.9047619 22.0952381] ; [ 3.0952381 35.9047619],0
s3,1,0.053394,3.731538,[ 8 18] ; [22 18],[11.81818182 14.18181818] ; [18.18181818 21.81818182],0
a3,1,0.063354,3.447321,[13 13] ; [29 11],[16.54545455  9.45454545] ; [25.45454545 14.54545455],0
a4,1,0.069113,3.303966,[ 9 17] ; [23 17],[12.60606061 13.39393939] ; [19.39393939 20.60606061],0
n4,1,0.069113,3.303966,[ 9 17] ; [23 17],[12.60606061 13.39393939] ; [19.39393939 20.60606061],0
u2,1,0.097788,2.741259,[8 5] ; [10  1],[9.75 3.25] ; [8.25 2.75],0
s4,1,0.114559,2.490176,[ 5 21] ; [15 25],[ 7.87878788 18.12121212] ; [12.12121212 27.87878788],0
a2,1,0.120268,2.413824,[ 4 22] ; [13 27],[ 6.6969697 19.3030303] ; [10.3030303 29.6969697],0
d1,1,0.130101,2.291296,[12 14] ; [26 14],[14.96969697 11.03030303] ; [23.03030303 16.96969697],0
b5,1,0.154143,2.030769,[20  6] ; [24 16],[17.33333333  8.66666667] ; [26.66666667 13.33333333],0
p1,1,0.16048,1.969697,[ 2 24] ; [ 8 31],[ 4. 22.] ; [ 6. 33.],0
p10,1,0.161697,1.958282,[16 10] ; [31  9],[18.51515152  7.48484848] ; [28.48484848 11.51515152],0
r1,1,0.161697,1.958282,[16 10] ; [31  9],[18.51515152  7.48484848] ; [28.48484848 11.51515152],0
p9,1,0.184604,1.760163,[17  9] ; [32  8],[19.3030303  6.6969697] ; [29.6969697 10.3030303],0
b4,1,0.225872,1.466667,[13 13] ; [26 14],[15.36363636 10.63636364] ; [23.63636364 16.36363636],0
d2,1,0.227549,1.456116,[11 15] ; [23 17],[13.39393939 12.60606061] ; [20.60606061 19.39393939],0
d4,1,0.259911,1.269231,[20  6] ; [35  5],[21.66666667  4.33333333] ; [33.33333333  6.66666667],0
v2,1,0.265217,1.241319,[11 15] ; [22 17],[13.2 12.8] ; [19.8 19.2],0
d5,1,0.316423,1.003676,[18  7] ; [33  7],[19.61538462  5.38461538] ; [31.38461538  8.61538462],0
s5,1,0.327833,0.957437,[ 8 17] ; [16 20],[ 9.83606557 15.16393443] ; [14.16393443 21.83606557],0
p8,1,0.366819,0.814413,[12 14] ; [23 17],[13.78787879 12.21212121] ; [21.21212121 18.78787879],0
u1,1,0.367439,0.812308,[ 3 23] ; [ 8 32],[ 4.33333333 21.66666667] ; [ 6.66666667 33.33333333],0
a7,1,0.372121,0.796569,[20  5] ; [28 12],[18.46153846  6.53846154] ; [29.53846154 10.46153846],0
a6,1,0.418326,0.655014,[15 11] ; [27 13],[16.54545455  9.45454545] ; [25.45454545 14.54545455],0
r2,1,0.527301,0.39959,[25  1] ; [36  3],[24.4  1.6] ; [36.6  2.4],0
v1,1,0.53951,0.376448,[10 16] ; [18 21],[11.2 14.8] ; [16.8 22.2],0
a1,1,0.543272,0.36951,[ 1 25] ; [ 3 37],[ 1.57575758 24.42424242] ; [ 2.42424242 37.57575758],0
r4,1,0.577091,0.310962,[23  3] ; [37  3],[23.63636364  2.36363636] ; [36.36363636  3.63636364],0
s2,1,0.61438,0.253846,[12 14] ; [21 19],[13. 13.] ; [20. 20.],0
n3,1,0.632585,0.228571,[10  4] ; [8 2],[10.5  3.5] ; [7.5 2.5],0
p7,1,0.639476,0.219429,[18  6] ; [32  8],[18.75  5.25] ; [31.25  8.75],0
s1,1,0.654221,0.20062,[ 2 24] ; [ 2 38],[ 1.57575758 24.42424242] ; [ 2.42424242 37.57575758],0
v4,1,0.654221,0.20062,[24  2] ; [38  2],[24.42424242  1.57575758] ; [37.57575758  2.42424242],0
s8,1,0.69207,0.156853,[10 15] ; [18 22],[10.76923077 14.23076923] ; [17.23076923 22.76923077],0
n6,1,0.738379,0.111556,[19  7] ; [27 12],[18.4  7.6] ; [27.6 11.4],0
p11,1,0.787344,0.072771,[19  7] ; [28 12],[18.51515152  7.48484848] ; [28.48484848 11.51515152],0
v3,1,0.814131,0.055272,[ 6 20] ; [10 29],[ 6.4 19.6] ; [ 9.6 29.4],0
n1,1,0.830696,0.045714,[5 9] ; [4 6],[5.25 8.75] ; [3.75 6.25],0
d3,1,0.888943,0.0195,[19  6] ; [31  9],[19.23076923  5.76923077] ; [30.76923077  9.23076923],0
b2,1,0.933546,0.006953,[5 9] ; [10 17],[5.12195122 8.87804878] ; [ 9.87804878 17.12195122],0
b3,1,0.933546,0.006953,[5 9] ; [10 17],[5.12195122 8.87804878] ; [ 9.87804878 17.12195122],0
p2,1,0.9388,0.005895,[21  5] ; [32  8],[20.87878788  5.12121212] ; [32.12121212  7.87878788],0
n2,1,0.939491,0.005762,[10  4] ; [7 3],[9.91666667 4.08333333] ; [7.08333333 2.91666667],0
s7,1,1.0,0.0,[13 13] ; [19 19],[13. 13.] ; [19. 19.],0
