Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.005408,7.737816,[7 1] ; [ 4 11],[3.82608696 4.17391304] ; [7.17391304 7.82608696],0
p10,1,0.010049,6.62619,[6 2] ; [ 3 12],[3.13043478 4.86956522] ; [5.86956522 9.13043478],0
v3,1,0.052808,3.75,[3 5] ; [ 1 15],[1.33333333 6.66666667] ; [ 2.66666667 13.33333333],0
s8,1,0.052808,3.75,[3 5] ; [ 1 15],[1.33333333 6.66666667] ; [ 2.66666667 13.33333333],0
s7,1,0.063155,3.452522,[3 5] ; [ 1 14],[1.39130435 6.60869565] ; [ 2.60869565 12.39130435],0
a7,1,0.083265,3.0,[6 2] ; [ 6 10],[4. 4.] ; [8. 8.],0
d5,1,0.112339,2.521008,[4 4] ; [ 3 13],[2.33333333 5.66666667] ; [ 4.66666667 11.33333333],0
a4,1,0.112339,2.521008,[4 4] ; [ 3 13],[2.33333333 5.66666667] ; [ 4.66666667 11.33333333],0
a3,1,0.178978,1.80609,[5 3] ; [ 5 10],[3.47826087 4.52173913] ; [6.52173913 8.47826087],0
p8,1,0.180802,1.791019,[3 5] ; [ 2 13],[1.73913043 6.26086957] ; [ 3.26086957 11.73913043],0
v2,1,0.180802,1.791019,[3 5] ; [ 2 13],[1.73913043 6.26086957] ; [ 3.26086957 11.73913043],0
a2,1,0.19043,1.714286,[2 6] ; [ 1 15],[1. 7.] ; [ 2. 14.],0
r4,1,0.19043,1.714286,[2 6] ; [ 1 15],[1. 7.] ; [ 2. 14.],0
s3,1,0.204008,1.613445,[1 7] ; [ 6 10],[2.33333333 5.66666667] ; [ 4.66666667 11.33333333],0
p7,1,0.220671,1.5,[4 4] ; [ 4 12],[2.66666667 5.33333333] ; [ 5.33333333 10.66666667],0
p4,1,0.220671,1.5,[4 4] ; [ 4 12],[2.66666667 5.33333333] ; [ 5.33333333 10.66666667],0
r3,1,0.241696,1.370677,[4 3] ; [ 5 11],[2.73913043 4.26086957] ; [6.26086957 9.73913043],0
a5,1,0.246566,1.342657,[5 3] ; [ 6 10],[3.66666667 4.33333333] ; [7.33333333 8.66666667],0
n6,1,0.246566,1.342657,[5 3] ; [ 6 10],[3.66666667 4.33333333] ; [7.33333333 8.66666667],0
u2,1,0.287495,1.131313,[1 2] ; [ 1 10],[0.42857143 2.57142857] ; [1.57142857 9.42857143],0
u3,1,0.287495,1.131313,[1 2] ; [ 1 10],[0.42857143 2.57142857] ; [1.57142857 9.42857143],0
d3,1,0.317311,1.0,[3 5] ; [ 3 13],[2. 6.] ; [ 4. 12.],0
s2,1,0.317311,1.0,[1 7] ; [ 5 11],[2. 6.] ; [ 4. 12.],0
d2,1,0.317311,1.0,[3 5] ; [ 3 13],[2. 6.] ; [ 4. 12.],0
p3,1,0.317311,1.0,[3 5] ; [ 3 13],[2. 6.] ; [ 4. 12.],0
r2,1,0.386476,0.75,[5 3] ; [7 9],[4. 4.] ; [8. 8.],0
p1,1,0.438578,0.6,[2 6] ; [ 2 14],[1.33333333 6.66666667] ; [ 2.66666667 13.33333333],0
n5,1,0.438578,0.6,[6 2] ; [14  2],[6.66666667 1.33333333] ; [13.33333333  2.66666667],0
s1,1,0.438578,0.6,[2 6] ; [ 2 14],[1.33333333 6.66666667] ; [ 2.66666667 13.33333333],0
a1,1,0.477197,0.505263,[1 7] ; [ 4 12],[1.66666667 6.33333333] ; [ 3.33333333 12.66666667],0
p11,1,0.525358,0.403361,[3 5] ; [ 4 12],[2.33333333 5.66666667] ; [ 4.66666667 11.33333333],0
p2,1,0.558185,0.342857,[4 4] ; [ 6 10],[3.33333333 4.66666667] ; [6.66666667 9.33333333],0
d1,1,0.601508,0.272727,[1 7] ; [ 1 15],[0.66666667 7.33333333] ; [ 1.33333333 14.66666667],0
s4,1,0.722283,0.126316,[2 6] ; [ 3 13],[1.66666667 6.33333333] ; [ 3.33333333 12.66666667],0
n4,1,0.750824,0.10084,[6 2] ; [11  5],[5.66666667 2.33333333] ; [11.33333333  4.66666667],0
a6,1,0.769698,0.085714,[3 5] ; [7 9],[3.33333333 4.66666667] ; [6.66666667 9.33333333],0
b1,1,0.769698,0.085714,[5 3] ; [9 7],[4.66666667 3.33333333] ; [9.33333333 6.66666667],0
b5,1,0.772059,0.083916,[4 4] ; [7 9],[3.66666667 4.33333333] ; [7.33333333 8.66666667],0
b4,1,0.772059,0.083916,[4 4] ; [7 9],[3.66666667 4.33333333] ; [7.33333333 8.66666667],0
p6,1,0.781867,0.076667,[2 6] ; [ 3 12],[1.73913043 6.26086957] ; [ 3.26086957 11.73913043],0
s6,1,0.857561,0.032213,[2 5] ; [ 4 12],[1.82608696 5.17391304] ; [ 4.17391304 11.82608696],0
b2,1,1.0,0.0,[2 4] ; [3 6],[2. 4.] ; [3. 6.],0
r1,1,1.0,0.0,[2 6] ; [ 4 12],[2. 6.] ; [ 4. 12.],0
a8,1,1.0,0.0,[1 7] ; [ 2 14],[1. 7.] ; [ 2. 14.],0
b3,1,1.0,0.0,[2 4] ; [3 6],[2. 4.] ; [3. 6.],0
