Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1e-05,19.491966,[14  7] ; [10 52],[ 6.07228916 14.92771084] ; [17.92771084 44.07228916],1
s8,1,0.003164,8.710517,[12  9] ; [14 48],[ 6.57831325 14.42168675] ; [19.42168675 42.57831325],0
s4,1,0.007117,7.243179,[ 6 15] ; [ 4 58],[ 2.53012048 18.46987952] ; [ 7.46987952 54.53012048],0
d5,1,0.019106,5.49175,[10 10] ; [48 14],[14.14634146  5.85365854] ; [43.85365854 18.14634146],0
p4,1,0.024663,5.047398,[10 11] ; [46 16],[14.1686747  6.8313253] ; [41.8313253 20.1686747],0
b4,1,0.049959,3.842823,[ 7 14] ; [36 26],[10.87951807 10.12048193] ; [32.12048193 29.87951807],0
n3,1,0.068144,3.32716,[2 2] ; [16  2],[3.27272727 0.72727273] ; [14.72727273  3.27272727],0
r3,1,0.090942,2.857614,[17  4] ; [58  4],[18.97590361  2.02409639] ; [56.02409639  5.97590361],0
a3,1,0.153409,2.038023,[12  9] ; [45 16],[14.59756098  6.40243902] ; [42.40243902 18.59756098],0
a6,1,0.187412,1.737845,[12  9] ; [45 17],[14.42168675  6.57831325] ; [42.57831325 19.42168675],0
p11,1,0.187582,1.736506,[14  7] ; [50 12],[16.19277108  4.80722892] ; [47.80722892 14.19277108],0
s7,1,0.19577,1.673649,[11 10] ; [21 37],[ 8.50632911 12.49367089] ; [23.49367089 34.50632911],0
p1,1,0.235308,1.408483,[ 1 20] ; [ 9 53],[ 2.53012048 18.46987952] ; [ 7.46987952 54.53012048],0
p7,1,0.239648,1.382665,[14  6] ; [51 11],[15.85365854  4.14634146] ; [49.14634146 12.85365854],0
s5,1,0.246795,1.341356,[ 5 14] ; [ 9 52],[ 3.325 15.675] ; [10.675 50.325],0
d4,1,0.248473,1.331867,[17  4] ; [42 20],[14.92771084  6.07228916] ; [44.07228916 17.92771084],0
p8,1,0.260313,1.267092,[11 10] ; [41 21],[13.15662651  7.84337349] ; [38.84337349 23.15662651],0
b5,1,0.276823,1.182621,[15  6] ; [36 26],[12.90361446  8.09638554] ; [38.09638554 23.90361446],0
d1,1,0.280669,1.163848,[ 9 12] ; [35 27],[11.13253012  9.86746988] ; [32.86746988 29.13253012],0
p3,1,0.335206,0.92868,[10 11] ; [37 25],[11.89156627  9.10843373] ; [35.10843373 26.89156627],0
a2,1,0.340993,0.906694,[ 3 18] ; [15 47],[ 4.55421687 16.44578313] ; [13.44578313 48.55421687],0
d3,1,0.362296,0.829918,[15  5] ; [39 22],[13.33333333  6.66666667] ; [40.66666667 20.33333333],0
v2,1,0.393058,0.729462,[13  7] ; [33 28],[11.35802469  8.64197531] ; [34.64197531 26.35802469],0
v4,1,0.416036,0.661485,[20  1] ; [61  1],[20.4939759  0.5060241] ; [60.5060241  1.4939759],0
n1,1,0.422489,0.643382,[1 3] ; [8 9],[1.71428571 2.28571429] ; [7.28571429 9.71428571],0
u1,1,0.429202,0.624981,[ 5 16] ; [10 52],[ 3.79518072 17.20481928] ; [11.20481928 50.79518072],0
n6,1,0.429202,0.624981,[16  5] ; [52 10],[17.20481928  3.79518072] ; [50.79518072 11.20481928],0
a8,1,0.433204,0.614217,[ 3 16] ; [ 5 49],[ 2.08219178 16.91780822] ; [ 5.91780822 48.08219178],0
p12,1,0.435458,0.608222,[ 2 19] ; [ 3 59],[ 1.26506024 19.73493976] ; [ 3.73493976 58.26506024],0
u3,1,0.484118,0.489574,[5 4] ; [ 7 10],[4.15384615 4.84615385] ; [7.84615385 9.15384615],0
b2,1,0.485336,0.486849,[8 4] ; [21 17],[6.96 5.04] ; [22.04 15.96],0
b3,1,0.485336,0.486849,[8 4] ; [21 17],[6.96 5.04] ; [22.04 15.96],0
b1,1,0.486328,0.48464,[ 7 14] ; [26 36],[ 8.34939759 12.65060241] ; [24.65060241 37.34939759],0
u2,1,0.500352,0.454189,[6 3] ; [9 8],[5.19230769 3.80769231] ; [9.80769231 7.19230769],0
n5,1,0.505366,0.44365,[14  7] ; [46 16],[15.18072289  5.81927711] ; [44.81927711 17.18072289],0
p9,1,0.542389,0.37113,[16  5] ; [51 11],[16.95180723  4.04819277] ; [50.04819277 11.95180723],0
d2,1,0.572275,0.318891,[ 8 13] ; [28 34],[ 9.10843373 11.89156627] ; [26.89156627 35.10843373],0
r1,1,0.605404,0.266923,[14  7] ; [45 17],[14.92771084  6.07228916] ; [44.07228916 17.92771084],0
r2,1,0.647231,0.209409,[19  1] ; [57  5],[18.53658537  1.46341463] ; [57.46341463  4.53658537],0
v3,1,0.69261,0.156274,[ 7 12] ; [26 36],[ 7.74074074 11.25925926] ; [25.25925926 36.74074074],0
r4,1,0.757554,0.095292,[17  4] ; [52 10],[17.45783133  3.54216867] ; [51.54216867 10.45783133],0
a7,1,0.808433,0.058781,[16  4] ; [48 14],[15.6097561  4.3902439] ; [48.3902439 13.6097561],0
a5,1,0.858215,0.031915,[14  7] ; [40 22],[13.6626506  7.3373494] ; [40.3373494 21.6626506],0
n4,1,0.907773,0.013421,[16  5] ; [48 14],[16.19277108  4.80722892] ; [47.80722892 14.19277108],0
n2,1,0.910162,0.012731,[3 1] ; [13  5],[2.90909091 1.09090909] ; [13.09090909  4.90909091],0
p10,1,0.918797,0.010394,[15  6] ; [45 17],[15.18072289  5.81927711] ; [44.81927711 17.18072289],0
v1,1,0.946546,0.004495,[11 10] ; [33 29],[11.13253012  9.86746988] ; [32.86746988 29.13253012],0
a4,1,0.955945,0.003052,[ 9 12] ; [27 35],[ 9.10843373 11.89156627] ; [26.89156627 35.10843373],0
p2,1,0.988668,0.000202,[20  1] ; [59  3],[19.98795181  1.01204819] ; [59.01204819  2.98795181],0
