Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.002841,8.907011,[ 4 17] ; [21 14],[ 9.375 11.625] ; [15.625 19.375],0
b5,1,0.007261,7.20713,[ 8 13] ; [26  9],[12.75  8.25] ; [21.25 13.75],0
p6,1,0.025286,5.004163,[ 2 18] ; [13 21],[ 5.55555556 14.44444444] ; [ 9.44444444 24.55555556],0
r1,1,0.101803,2.677073,[18  3] ; [23 12],[15.375  5.625] ; [25.625  9.375],0
n3,1,0.145729,2.116402,[8 1] ; [4 3],[6.75 2.25] ; [5.25 1.75],0
p2,1,0.149821,2.074074,[11 10] ; [25 10],[13.5  7.5] ; [22.5 12.5],0
a4,1,0.183578,1.768421,[ 9 12] ; [ 9 26],[ 6.75 14.25] ; [11.25 23.75],0
n6,1,0.208287,1.583295,[12  9] ; [25  9],[14.12727273  6.87272727] ; [22.87272727 11.12727273],0
v4,1,0.25113,1.317007,[17  4] ; [32  3],[18.375  2.625] ; [30.625  4.375],0
s1,1,0.25113,1.317007,[ 4 17] ; [ 3 32],[ 2.625 18.375] ; [ 4.375 30.625],0
d2,1,0.264616,1.244444,[11 10] ; [13 22],[ 9. 12.] ; [15. 20.],0
p1,1,0.276162,1.185882,[ 3 18] ; [ 2 33],[ 1.875 19.125] ; [ 3.125 31.875],0
b4,1,0.285049,1.142857,[15  6] ; [20 15],[13.125  7.875] ; [21.875 13.125],0
u3,1,0.300623,1.071429,[4 6] ; [12  8],[5.33333333 4.66666667] ; [10.66666667  9.33333333],0
d3,1,0.366909,0.814108,[10 11] ; [21 14],[11.625  9.375] ; [19.375 15.625],0
n2,1,0.37472,0.787953,[8 1] ; [5 2],[7.3125 1.6875] ; [5.6875 1.3125],0
v2,1,0.389001,0.742063,[ 8 13] ; [17 17],[ 9.54545455 11.45454545] ; [15.45454545 18.54545455],0
s8,1,0.401066,0.705128,[ 6 14] ; [ 7 28],[ 4.72727273 15.27272727] ; [ 8.27272727 26.72727273],0
n4,1,0.409123,0.681347,[16  5] ; [23 12],[14.625  6.375] ; [24.375 10.625],0
a2,1,0.430223,0.622222,[ 4 17] ; [ 4 31],[ 3. 18.] ; [ 5. 30.],0
d1,1,0.440427,0.595169,[10 11] ; [13 22],[ 8.625 12.375] ; [14.375 20.625],0
a5,1,0.479892,0.499109,[14  7] ; [20 15],[12.75  8.25] ; [21.25 13.75],0
a3,1,0.489042,0.478632,[11 10] ; [15 20],[ 9.75 11.25] ; [16.25 18.75],0
s3,1,0.507554,0.439106,[ 9 11] ; [19 16],[10.18181818  9.81818182] ; [17.81818182 17.18181818],0
s7,1,0.514453,0.425,[ 4 13] ; [11 23],[ 5. 12.] ; [10. 24.],0
s5,1,0.517075,0.419724,[ 5 15] ; [ 6 28],[ 4.07407407 15.92592593] ; [ 6.92592593 27.07407407],0
u2,1,0.523094,0.407788,[3 7] ; [ 8 11],[3.79310345 6.20689655] ; [ 7.20689655 11.79310345],0
d5,1,0.541193,0.373333,[16  5] ; [24 11],[15.  6.] ; [25. 10.],0
r4,1,0.543243,0.369562,[16  5] ; [29  6],[16.875  4.125] ; [28.125  6.875],0
a6,1,0.576999,0.311111,[11 10] ; [21 14],[12.  9.] ; [20. 15.],0
p5,1,0.592034,0.287179,[ 1 20] ; [ 3 32],[ 1.5 19.5] ; [ 2.5 32.5],0
a1,1,0.592034,0.287179,[ 2 19] ; [ 2 33],[ 1.5 19.5] ; [ 2.5 32.5],0
r2,1,0.601921,0.272109,[19  2] ; [30  5],[18.375  2.625] ; [30.625  4.375],0
p4,1,0.617859,0.248889,[14  7] ; [21 14],[13.125  7.875] ; [21.875 13.125],0
n5,1,0.628844,0.233631,[10 11] ; [19 16],[10.875 10.125] ; [18.125 16.875],0
a7,1,0.671649,0.179679,[12  9] ; [22 13],[12.75  8.25] ; [21.25 13.75],0
v1,1,0.725837,0.122969,[ 8 13] ; [15 20],[ 8.625 12.375] ; [14.375 20.625],0
p10,1,0.736607,0.113131,[ 4 17] ; [ 8 27],[ 4.5 16.5] ; [ 7.5 27.5],0
s2,1,0.750032,0.101504,[ 9 10] ; [15 20],[ 8.44444444 10.55555556] ; [15.55555556 19.44444444],0
s6,1,0.759419,0.093786,[10 10] ; [19 16],[10.54545455  9.45454545] ; [18.45454545 16.54545455],0
b1,1,0.773322,0.082963,[14  7] ; [22 13],[13.5  7.5] ; [22.5 12.5],0
r3,1,0.82345,0.049778,[19  2] ; [31  4],[18.75  2.25] ; [31.25  3.75],0
u1,1,0.82345,0.049778,[ 2 19] ; [ 4 31],[ 2.25 18.75] ; [ 3.75 31.25],0
b2,1,0.824899,0.048951,[4 9] ; [ 6 16],[3.71428571 9.28571429] ; [ 6.28571429 15.71428571],0
b3,1,0.824899,0.048951,[4 9] ; [ 6 16],[3.71428571 9.28571429] ; [ 6.28571429 15.71428571],0
v3,1,0.833821,0.044018,[ 8 12] ; [13 22],[ 7.63636364 12.36363636] ; [13.36363636 21.63636364],0
p11,1,0.835059,0.043355,[ 9 12] ; [16 19],[ 9.375 11.625] ; [15.625 19.375],0
d4,1,0.934867,0.006679,[16  5] ; [27  8],[16.125  4.875] ; [26.875  8.125],0
n1,1,0.949375,0.004031,[4 5] ; [3 4],[3.9375 5.0625] ; [3.0625 3.9375],0
s4,1,0.953351,0.003422,[ 5 15] ; [ 9 26],[ 5.09090909 14.90909091] ; [ 8.90909091 26.09090909],0
