Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,88.979684,[ 7 12] ; [311  14],[17.56395349  1.43604651] ; [300.43604651  24.56395349],1
v4,1,0.0,51.987625,[13  6] ; [318   5],[18.38888889  0.61111111] ; [312.61111111  10.38888889],1
r1,1,0.0,27.734861,[ 8 11] ; [282  42],[16.06413994  2.93586006] ; [273.93586006  50.06413994],1
r3,1,0.000904,11.014639,[15  4] ; [310  13],[18.05555556  0.94444444] ; [306.94444444  16.05555556],1
d1,1,0.001794,9.74879,[ 6 13] ; [217 108],[12.31686047  6.68313953] ; [210.68313953 114.31686047],0
b4,1,0.00287,8.888232,[ 5 14] ; [198 127],[11.2122093  7.7877907] ; [191.7877907 133.2122093],0
n6,1,0.003674,8.438409,[13  6] ; [289  32],[16.87647059  2.12352941] ; [285.12352941  35.87647059],0
n4,1,0.00496,7.893873,[11  8] ; [271  54],[15.5755814  3.4244186] ; [266.4244186  58.5755814],0
a7,1,0.005603,7.673799,[ 9 10] ; [246  78],[14.12536443  4.87463557] ; [240.87463557  83.12536443],0
s6,1,0.03384,4.502766,[10  9] ; [234  79],[13.96385542  5.03614458] ; [230.03614458  82.96385542],0
b1,1,0.037603,4.322896,[12  7] ; [127 198],[ 7.67732558 11.32267442] ; [131.32267442 193.67732558],0
s4,1,0.039463,4.240823,[ 7 12] ; [ 57 263],[ 3.58702065 15.41297935] ; [ 60.41297935 259.58702065],0
p12,1,0.053329,3.733594,[ 5 14] ; [ 37 288],[ 2.31976744 16.68023256] ; [ 39.68023256 285.31976744],0
d5,1,0.07923,3.080622,[13  6] ; [272  52],[15.78717201  3.21282799] ; [269.21282799  54.78717201],0
d3,1,0.082788,3.009293,[11  8] ; [246  79],[14.19476744  4.80523256] ; [242.80523256  82.19476744],0
p2,1,0.122155,2.389477,[16  3] ; [303  21],[17.67055394  1.32944606] ; [301.32944606  22.67055394],0
u1,1,0.150077,2.071467,[ 1 18] ; [ 59 266],[ 3.31395349 15.68604651] ; [ 56.68604651 268.31395349],0
a3,1,0.179078,1.805263,[11  8] ; [234  90],[13.57142857  5.42857143] ; [231.42857143  92.57142857],0
s5,1,0.179087,1.805181,[ 5 14] ; [130 180],[ 7.79635258 11.20364742] ; [127.20364742 182.79635258],0
a2,1,0.202048,1.627507,[ 2 17] ; [ 75 250],[ 4.25290698 14.74709302] ; [ 72.74709302 252.25290698],0
s3,1,0.210838,1.565662,[ 8 10] ; [190 130],[10.5443787  7.4556213] ; [187.4556213 132.5443787],0
n5,1,0.225468,1.469222,[14  5] ; [273  51],[15.89795918  3.10204082] ; [271.10204082  52.89795918],0
d2,1,0.227731,1.45498,[ 7 12] ; [166 159],[9.55523256 9.44476744] ; [163.44476744 161.55523256],0
a5,1,0.255929,1.290645,[13  6] ; [258  67],[14.96802326  4.03197674] ; [256.03197674  68.96802326],0
s7,1,0.292099,1.109921,[7 9] ; [176 132],[9.03703704 6.96296296] ; [173.96296296 134.03703704],0
p1,1,0.322705,0.977952,[ 1 18] ; [ 42 281],[ 2.38888889 16.61111111] ; [ 40.61111111 282.38888889],0
v1,1,0.329083,0.952502,[10  9] ; [204 116],[11.99410029  7.00589971] ; [202.00589971 117.99410029],0
n3,1,0.336598,0.923347,[3 3] ; [32 14],[4.03846154 1.96153846] ; [30.96153846 15.03846154],0
d4,1,0.337759,0.918918,[15  4] ; [281  43],[16.39650146  2.60349854] ; [279.60349854  44.39650146],0
s8,1,0.357337,0.84723,[ 8 11] ; [170 151],[9.94705882 9.05294118] ; [168.05294118 152.94705882],0
p6,1,0.367325,0.812692,[ 9 10] ; [187 136],[10.88888889  8.11111111] ; [185.11111111 137.88888889],0
s2,1,0.389473,0.740585,[ 8 10] ; [176 145],[9.7699115 8.2300885] ; [174.2300885 146.7699115],0
p9,1,0.408767,0.682383,[15  3] ; [291  34],[16.05830904  1.94169096] ; [289.94169096  35.05830904],0
b3,1,0.43914,0.598527,[3 8] ; [ 79 124],[4.21495327 6.78504673] ; [ 77.78504673 125.21495327],0
b2,1,0.43914,0.598527,[3 8] ; [ 79 124],[4.21495327 6.78504673] ; [ 77.78504673 125.21495327],0
a1,1,0.448957,0.573285,[ 2 17] ; [ 20 305],[ 1.21511628 17.78488372] ; [ 20.78488372 304.21511628],0
u2,1,0.450526,0.569328,[6 2] ; [56 35],[5.01010101 2.98989899] ; [56.98989899 34.01010101],0
a4,1,0.451911,0.565853,[ 7 12] ; [148 176],[ 8.58600583 10.41399417] ; [146.41399417 177.58600583],0
s1,1,0.45899,0.548357,[ 1 18] ; [  8 316],[ 0.49854227 18.50145773] ; [  8.50145773 315.49854227],0
p10,1,0.46711,0.528805,[15  3] ; [289  36],[15.95335277  2.04664723] ; [288.04664723  36.95335277],0
b5,1,0.582155,0.302764,[ 9 10] ; [175 150],[10.1627907  8.8372093] ; [173.8372093 151.1627907],0
v3,1,0.718552,0.129884,[ 8 11] ; [146 169],[ 8.76047904 10.23952096] ; [145.23952096 169.76047904],0
p11,1,0.71873,0.129713,[16  3] ; [283  42],[16.51453488  2.48546512] ; [282.48546512  42.51453488],0
n1,1,0.728904,0.12012,[3 3] ; [20 27],[2.60377358 3.39622642] ; [20.39622642 26.60377358],0
a8,1,0.734875,0.114682,[ 2 16] ; [ 41 253],[ 2.48076923 15.51923077] ; [ 40.51923077 253.48076923],0
a6,1,0.767177,0.087657,[12  7] ; [216 109],[12.59302326  6.40697674] ; [215.40697674 109.59302326],0
p7,1,0.847169,0.037145,[16  3] ; [278  46],[16.28571429  2.71428571] ; [277.71428571  46.28571429],0
u3,1,0.889893,0.019166,[5 3] ; [54 36],[4.81632653 3.18367347] ; [54.18367347 35.81632653],0
p5,1,0.960048,0.002509,[ 4 15] ; [ 70 255],[ 4.0872093 14.9127907] ; [ 69.9127907 255.0872093],0
p3,1,0.969944,0.00142,[14  5] ; [240  84],[14.06997085  4.93002915] ; [239.93002915  84.06997085],0
v2,1,0.971733,0.001256,[11  7] ; [193 125],[10.92857143  7.07142857] ; [193.07142857 124.92857143],0
