Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,3e-06,22.140556,[12 58] ; [11  3],[19.16666667 50.83333333] ; [ 3.83333333 10.16666667],1
r4,1,0.000141,14.488417,[34 42] ; [17  1],[41.23404255 34.76595745] ; [9.76595745 8.23404255],1
s5,1,0.000163,14.214343,[ 9 64] ; [9 8],[14.6 58.4] ; [ 3.4 13.6],1
n6,1,0.000614,11.733989,[33 42] ; [16  2],[39.51612903 35.48387097] ; [9.48387097 8.51612903],1
s6,1,0.000953,10.916689,[25 51] ; [13  4],[31.05376344 44.94623656] ; [ 6.94623656 10.05376344],1
s2,1,0.001993,9.555872,[18 58] ; [11  7],[23.44680851 52.55319149] ; [ 5.55319149 12.44680851],0
v4,1,0.008959,6.831024,[47 28] ; [17  1],[51.61290323 23.38709677] ; [12.38709677  5.61290323],0
p6,1,0.009111,6.800916,[ 7 67] ; [ 6 12],[10.45652174 63.54347826] ; [ 2.54347826 15.45652174],0
r3,1,0.009696,6.689892,[42 33] ; [16  2],[46.77419355 28.22580645] ; [11.22580645  6.77419355],0
p9,1,0.009893,6.654073,[22 49] ; [11  6],[26.625 44.375] ; [ 6.375 10.625],0
d2,1,0.011542,6.379957,[33 41] ; [14  4],[37.80434783 36.19565217] ; [9.19565217 8.80434783],0
p10,1,0.013305,6.128122,[20 53] ; [10  7],[24.33333333 48.66666667] ; [ 5.66666667 11.33333333],0
v2,1,0.027433,4.863375,[24 49] ; [11  7],[28.07692308 44.92307692] ; [ 6.92307692 11.07692308],0
b2,1,0.040667,4.189853,[22 25] ; [ 2 11],[18.8 28.2] ; [5.2 7.8],0
b3,1,0.040667,4.189853,[22 25] ; [ 2 11],[18.8 28.2] ; [5.2 7.8],0
n2,1,0.05235,3.764555,[17 18] ; [9 2],[19.7826087 15.2173913] ; [6.2173913 4.7826087],0
v1,1,0.056644,3.63301,[17 59] ; [ 8 10],[20.21276596 55.78723404] ; [ 4.78723404 13.21276596],0
d5,1,0.062143,3.479237,[50 25] ; [16  2],[53.22580645 21.77419355] ; [12.77419355  5.22580645],0
a5,1,0.068324,3.322823,[46 30] ; [15  3],[49.31914894 26.68085106] ; [11.68085106  6.31914894],0
d1,1,0.075867,3.151283,[33 43] ; [12  6],[36.38297872 39.61702128] ; [8.61702128 9.38297872],0
s4,1,0.088954,2.893198,[12 64] ; [ 6 12],[14.55319149 61.44680851] ; [ 3.44680851 14.55319149],0
a4,1,0.092443,2.831301,[29 45] ; [11  7],[32.17391304 41.82608696] ; [ 7.82608696 10.17391304],0
n4,1,0.120703,2.408171,[39 36] ; [13  5],[41.93548387 33.06451613] ; [10.06451613  7.93548387],0
n5,1,0.120703,2.408171,[39 36] ; [13  5],[41.93548387 33.06451613] ; [10.06451613  7.93548387],0
u1,1,0.122538,2.384575,[ 7 69] ; [ 4 14],[ 8.89361702 67.10638298] ; [ 2.10638298 15.89361702],0
a2,1,0.164524,1.932148,[14 62] ; [ 6 12],[16.17021277 59.82978723] ; [ 3.82978723 14.17021277],0
u3,1,0.178022,1.814059,[11 17] ; [3 1],[12.25 15.75] ; [1.75 2.25],0
a6,1,0.18593,1.749573,[37 38] ; [12  6],[39.51612903 35.48387097] ; [9.48387097 8.51612903],0
d4,1,0.198081,1.656465,[51 24] ; [15  3],[53.22580645 21.77419355] ; [12.77419355  5.22580645],0
d3,1,0.221455,1.494921,[38 37] ; [12  6],[40.32258065 34.67741935] ; [9.67741935 8.32258065],0
p3,1,0.224372,1.47619,[15 60] ; [ 6 12],[16.93548387 58.06451613] ; [ 4.06451613 13.93548387],0
b1,1,0.239797,1.381789,[39 37] ; [12  6],[41.23404255 34.76595745] ; [9.76595745 8.23404255],0
a3,1,0.29458,1.09857,[48 26] ; [14  4],[49.86956522 24.13043478] ; [12.13043478  5.86956522],0
v3,1,0.296218,1.091142,[20 51] ; [ 7 10],[21.78409091 49.21590909] ; [ 5.21590909 11.78409091],0
a8,1,0.303384,1.059259,[ 7 65] ; [ 3 13],[ 8.18181818 63.81818182] ; [ 1.81818182 14.18181818],0
a1,1,0.30797,1.039361,[11 65] ; [ 1 17],[ 9.70212766 66.29787234] ; [ 2.29787234 15.70212766],0
n1,1,0.437967,0.601604,[14 20] ; [6 5],[15.11111111 18.88888889] ; [4.88888889 6.11111111],0
p4,1,0.488583,0.479646,[15 59] ; [ 5 13],[16.08695652 57.91304348] ; [ 3.91304348 14.08695652],0
p5,1,0.533313,0.388074,[ 2 73] ; [ 1 17],[ 2.41935484 72.58064516] ; [ 0.58064516 17.41935484],0
u2,1,0.580912,0.304762,[10 18] ; [2 2],[10.5 17.5] ; [1.5 2.5],0
a7,1,0.60204,0.27193,[45 30] ; [12  6],[45.96774194 29.03225806] ; [11.03225806  6.96774194],0
s3,1,0.606493,0.265313,[28 46] ; [ 8 10],[28.95652174 45.04347826] ; [ 7.04347826 10.95652174],0
p8,1,0.629853,0.23226,[13 62] ; [ 4 14],[13.70967742 61.29032258] ; [ 3.29032258 14.70967742],0
b4,1,0.762813,0.091077,[35 41] ; [9 9],[35.57446809 40.42553191] ; [8.42553191 9.57446809],0
p7,1,0.855462,0.03318,[19 55] ; [ 5 13],[19.30434783 54.69565217] ; [ 4.69565217 13.30434783],0
b5,1,0.93725,0.006198,[43 33] ; [10  8],[42.85106383 33.14893617] ; [10.14893617  7.85106383],0
p1,1,0.942319,0.005235,[ 8 68] ; [ 2 16],[ 8.08510638 67.91489362] ; [ 1.91489362 16.08510638],0
