Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,235.742051,[457  17] ; [44 67],[405.93846154  68.06153846] ; [95.06153846 15.93846154],1
p11,1,0.0,56.660012,[413  62] ; [64 50],[384.67741935  90.32258065] ; [92.32258065 21.67741935],1
v4,1,0.0,32.751357,[457  14] ; [94 19],[444.38527397  26.61472603] ; [106.61472603   6.38527397],1
n6,1,0.0,30.575568,[420  51] ; [76 35],[401.40206186  69.59793814] ; [94.59793814 16.40206186],1
p2,1,0.0,30.217482,[411  63] ; [74 40],[390.96938776  83.03061224] ; [94.03061224 19.96938776],1
s6,1,0.0,27.527096,[327 140] ; [50 64],[303.02753873 163.97246127] ; [73.97246127 40.02753873],1
p7,1,2e-06,22.443428,[298 163] ; [45 67],[275.95636998 185.04363002] ; [67.04363002 44.95636998],1
r4,1,3e-06,22.123589,[436  39] ; [87 27],[421.77419355  53.22580645] ; [101.22580645  12.77419355],1
p4,1,4e-06,21.294137,[284 187] ; [41 72],[262.11472603 208.88527397] ; [62.88527397 50.11472603],1
p8,1,5e-06,20.985528,[259 209] ; [35 77],[237.22758621 230.77241379] ; [56.77241379 55.22758621],1
p3,1,7e-06,20.182609,[228 246] ; [28 85],[206.71890971 267.28109029] ; [49.28109029 63.71890971],1
s8,1,9e-06,19.798235,[211 261] ; [25 89],[190.0887372 281.9112628] ; [45.9112628 68.0887372],1
r3,1,1e-05,19.447303,[458  15] ; [97 15],[448.74358974  24.25641026] ; [106.25641026   5.74358974],1
n5,1,1.2e-05,19.158763,[358 113] ; [62 50],[339.31389365 131.68610635] ; [80.68610635 31.31389365],1
s2,1,9.1e-05,15.319717,[244 227] ; [35 77],[225.40137221 245.59862779] ; [53.59862779 58.40137221],1
n4,1,0.000192,13.905042,[366 109] ; [67 45],[350.38330494 124.61669506] ; [82.61669506 29.38330494],1
v1,1,0.000318,12.958942,[259 204] ; [41 70],[241.98606272 221.01393728] ; [58.01393728 52.98606272],1
d5,1,0.000503,12.106285,[393  81] ; [78 36],[379.68367347  94.31632653] ; [91.31632653 22.68367347],1
s5,1,0.000623,11.706909,[164 293] ; [21 90],[148.84683099 308.15316901] ; [36.15316901 74.84683099],1
s7,1,0.000732,11.405517,[225 231] ; [35 76],[209.1005291 246.8994709] ; [50.8994709 60.1005291],1
v2,1,0.000828,11.178047,[277 179] ; [48 63],[261.37566138 194.62433862] ; [63.62433862 47.37566138],1
a5,1,0.002323,9.275275,[348 127] ; [67 47],[334.67741935 140.32258065] ; [80.32258065 33.67741935],0
