Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,9e-06,19.621493,[14 10] ; [78  5],[20.63551402  3.36448598] ; [71.36448598 11.63551402],1
p2,1,0.003764,8.394331,[17  7] ; [77  6],[21.08411215  2.91588785] ; [72.91588785 10.08411215],0
p6,1,0.010415,6.5625,[ 9 15] ; [54 27],[14.4  9.6] ; [48.6 32.4],0
p7,1,0.015349,5.87592,[14  9] ; [69 13],[18.18095238  4.81904762] ; [64.81904762 17.18095238],0
p8,1,0.043726,4.067113,[16  9] ; [68 14],[19.62616822  5.37383178] ; [64.37383178 17.62616822],0
p12,1,0.102958,2.659109,[ 3 21] ; [24 59],[ 6.05607477 17.94392523] ; [20.94392523 62.05607477],0
p11,1,0.140296,2.174709,[19  6] ; [73 10],[21.2962963  3.7037037] ; [70.7037037 12.2962963],0
p1,1,0.272489,1.204173,[ 5 20] ; [26 57],[ 7.17592593 17.82407407] ; [23.82407407 59.17592593],0
b1,1,0.385813,0.752096,[13 12] ; [35 48],[11.11111111 13.88888889] ; [36.88888889 46.11111111],0
p9,1,0.736292,0.113413,[23  2] ; [77  5],[23.36448598  1.63551402] ; [76.63551402  5.36448598],0
p10,1,0.833878,0.043987,[22  2] ; [74  8],[21.73584906  2.26415094] ; [74.26415094  7.73584906],0
